section_id,title,title_roman
social-basics, ,mu'mey ngeD
communication,,Hol
quick-responses, ,jangmeH mu'mey
phone-translation,,mughwI'
phone-text-power, ,ghogh HablI'
sim-data,,De'
introductions,,pong
etiquette,,ghob
slang, ,mu'mey ghoQ
time-scheduling,,poH
time-words, ,poH mu'mey
days-of-week,,jajmey
months,,jarmey
pronouns-verbs, ,mu'mey potlh
question-words, ,yu'meH mu'mey
payment-receipt, ,DIlmeH mu'mey
numbers-money,,mI'mey
atm-cash,,Huch
utility-templates,,mu'tlheghmey
shopping, ,je'meH mu'mey
food-ordering,,Soj
attractions-tickets, ,'elmeH chaw'mey
children,,puqpu'
directions,,He
taxi, ,ra'wI' lupwI'
building-help, ,qach QaH
transit-rides,,lupwI'mey
in-a-building,,qachDaq
toilets,,puchpa'
building-words, ,qach mu'mey
hotel-words, ,mebpa' mu'mey
hotel-basics,,mebpa'mey
hotel-requests, ,tlhobmeH mu'mey
room-problems, ,pa' Qaghmey
laundry, ,Sut Say'moHmeH
place-words, ,Daq mu'mey
border-customs,,veH
trail-words, ,taw mu'mey
pickup-meeting, ,ghommeH Daq
rail-station-words, ,manggha mu'mey
common-signs,,permey
weather,,muD
hiking-parks,,yotlh
trail-conditions, ,taw Dotlh
trail-transport, ,taw lupwI'mey
trail-warnings,,Qob
trail-landmarks, ,taw permey
emergency-medical,,chach
medical-conditions,,Hergh
pharmacy-symptoms, ,Hergh ngevwI'
body-parts, ,porgh 'ay'mey
lost-rescue,,toD
police-consulate,,ghan'Iq
