section_id,title
social-basics,സാമൂഹികം + അടിസ്ഥാനം
communication,ആശയവിനിമയം
quick-responses,പെട്ടെന്നുള്ള മറുപടികൾ
phone-translation,ഫോൺ പരിഭാഷ
phone-text-power,"ഫോൺ, സന്ദേശം + ചാർജ്"
sim-data,"സിം, ഡേറ്റ + വൈ-ഫൈ"
introductions,പരിചയപ്പെടൽ
etiquette,ടിപ്പും മര്യാദയും
slang,സംസാരഭാഷ
profanity,കടുത്ത വാക്കുകൾ
time-scheduling,സമയം + കൂടിക്കാഴ്ച
time-words,സമയവാക്കുകൾ
days-of-week,ആഴ്ചയിലെ ദിവസങ്ങൾ
months,മാസങ്ങൾ
pronouns-verbs,അടിസ്ഥാന വാക്കുകൾ + രൂപങ്ങൾ
question-words,ചോദ്യവാക്കുകൾ + ചെറുവാക്കുകൾ
payment-receipt,പണം + രസീത്
numbers-money,അക്കങ്ങൾ + പണം
atm-cash,എടിഎം + പണം
dietary-needs,ഭക്ഷണ നിബന്ധനകൾ
utility-templates,പൊതു വാക്യരൂപങ്ങൾ
shopping,സാധനം വാങ്ങൽ
color-size-returns,"നിറം, അളവ് + മടക്കൽ"
tax-refund,നികുതി തിരികെ
food-ordering,ഭക്ഷണം + ഓർഡർ
attractions-tickets,കാഴ്ചകൾ + ടിക്കറ്റ്
children,കുട്ടികളോടൊപ്പം
directions,വഴി ചോദിക്കൽ
quick-directions,പെട്ടെന്നുള്ള വഴികൾ
taxi,ടാക്സി
building-help,കെട്ടിടത്തിൽ സഹായം
accessibility,പ്രവേശനവും സഞ്ചാരവും
transit-rides,വാഹനവും യാത്രയും
in-a-building,കെട്ടിടത്തിനുള്ളിൽ
toilets,ശൗചാലയം
building-words,കെട്ടിട വാക്കുകൾ
hotel-words,ഹോട്ടൽ വാക്കുകൾ
hotel-basics,ഹോട്ടൽ അടിസ്ഥാനം
hotel-requests,ഹോട്ടലിലെ ആവശ്യങ്ങൾ
room-problems,റൂമിലെ പ്രശ്നങ്ങൾ
laundry,അലക്ക്
place-words,സ്ഥല വാക്കുകൾ
border-customs,അതിർത്തി + കസ്റ്റംസ്
trail-words,നടപ്പാത വാക്കുകൾ
pickup-meeting,കൂട്ടിക്കൊണ്ടുപോകൽ + കൂടിക്കാഴ്ച
rail-station-words,ട്രെയിൻ + സ്റ്റേഷൻ വാക്കുകൾ
common-signs,സാധാരണ സൂചനകൾ
weather,കാലാവസ്ഥ + സ്ഥിതി
hiking-parks,നടപ്പും പാർക്കുകളും
trail-conditions,സ്ഥിതിയും വഴിയും
trail-transport,വാഹനവും സേവനങ്ങളും
trail-warnings,പാതയിലെ മുന്നറിയിപ്പുകൾ
trail-landmarks,പാതയിലെ അടയാളങ്ങളും സേവനങ്ങളും
emergency-medical,അത്യാഹിതം + ചികിത്സ
medical-conditions,രോഗവും മരുന്നും
pharmacy-symptoms,മരുന്നുകടയും ലക്ഷണങ്ങളും
body-parts,ശരീരഭാഗങ്ങൾ
lost-rescue,നഷ്ടപ്പെട്ട സാധനങ്ങൾ + രക്ഷ
police-consulate,"പോലീസ്, മോഷണം + കോൺസുലേറ്റ്"
