section_id,title
social-basics,Cortesia + basi
communication,Comunicazione
quick-responses,Risposte rapide
phone-translation,Traduzione sul telefono
phone-text-power,"Telefono, SMS + ricarica"
sim-data,"SIM, dati + Wi-Fi"
introductions,Presentazioni
etiquette,Mancia + usanze
slang,Gergo (informale)
time-scheduling,Ora + appuntamenti
time-words,Parole del tempo
days-of-week,Giorni della settimana
months,Mesi
pronouns-verbs,Parole + costruzioni
question-words,Domande + parole brevi
payment-receipt,Pagamento + scontrino
numbers-money,Numeri + soldi
atm-cash,Bancomat + contanti
dietary-needs,Esigenze alimentari
utility-templates,Frasi utili
shopping,Acquisti
color-size-returns,"Colore, taglia + resi"
tax-refund,Rimborso IVA
food-ordering,Mangiare + ordinare
attractions-tickets,Luoghi + biglietti
children,Con i bambini
directions,Indicazioni
quick-directions,Indicazioni rapide
taxi,Taxi
building-help,Aiuto in un edificio
accessibility,Accesso + mobilità
transit-rides,Trasporti + tragitti
in-a-building,In un edificio
toilets,Bagni
building-words,Parole degli edifici
hotel-words,Parole in hotel
hotel-basics,"Hotel, le basi"
hotel-requests,Richieste in hotel
room-problems,Problemi in camera
laundry,Lavanderia
place-words,Parole di luoghi
border-customs,Frontiera + dogana
trail-words,Parole di sentiero
pickup-meeting,Ritrovo + partenza
rail-station-words,Treno + stazione
common-signs,Cartelli comuni
weather,Meteo + condizioni
hiking-parks,Escursioni + parchi
trail-conditions,Condizioni + percorso
trail-transport,Trasporti + servizi
trail-warnings,Avvisi sul sentiero
trail-landmarks,Riferimenti + servizi
emergency-medical,Emergenza + medico
medical-conditions,Patologie + farmaci
pharmacy-symptoms,Farmacia + sintomi
body-parts,Parti del corpo
lost-rescue,Oggetti persi + soccorso
police-consulate,"Polizia, furto + consolato"
