section_id,title
social-basics,Zwroty podstawowe
communication,Porozumiewanie się
quick-responses,Krótkie odpowiedzi
phone-translation,Tłumacz w telefonie
phone-text-power,"Telefon, SMS i prąd"
sim-data,"Karta SIM, dane i Wi-Fi"
introductions,Przedstawianie się
etiquette,Napiwki i zwyczaje
slang,Slang (potoczny)
profanity,Wulgaryzmy (mocne)
time-scheduling,Czas i terminy
time-words,Słowa o czasie
days-of-week,Dni tygodnia
months,Miesiące
pronouns-verbs,Podstawowe słowa i wzory
question-words,Pytania i słówka
payment-receipt,Płatność i paragon
numbers-money,Liczby i pieniądze
atm-cash,Bankomat i gotówka
dietary-needs,Potrzeby żywieniowe
utility-templates,Wzory zdań
shopping,Zakupy
color-size-returns,"Kolor, rozmiar i zwroty"
tax-refund,Zwrot VAT
food-ordering,Jedzenie i zamawianie
attractions-tickets,Atrakcje i bilety
children,Z dziećmi
directions,Pytanie o drogę
quick-directions,Krótkie wskazówki
taxi,Taksówka
building-help,Pomoc w budynku
accessibility,Dostępność
transit-rides,Komunikacja i przejazdy
in-a-building,W budynku
toilets,Toalety
building-words,Słowa: budynek
hotel-words,Słowa: hotel
hotel-basics,Hotel: podstawy
hotel-requests,Hotel: prośby
room-problems,Problemy w pokoju
laundry,Pralnia
place-words,Słowa: miejsca
border-customs,Granica i odprawa
trail-words,Słowa: szlak
pickup-meeting,Odbiór i spotkanie
rail-station-words,Kolej i dworzec
common-signs,Częste napisy
weather,Pogoda i warunki
hiking-parks,Szlaki i parki
trail-conditions,Warunki i trasa
trail-transport,Transport i usługi
trail-warnings,Ostrzeżenia na szlaku
trail-landmarks,Punkty na szlaku
emergency-medical,Nagły wypadek
medical-conditions,Choroby i leki
pharmacy-symptoms,Apteka i objawy
body-parts,Części ciała
lost-rescue,Zguby i ratunek
police-consulate,"Policja, kradzież i konsulat"
