section_id,title
social-basics,Socialt + grunder
communication,Kommunikation
quick-responses,Snabba svar
phone-translation,Telefonöversättning
phone-text-power,"Telefon, sms + ström"
sim-data,"SIM, data + wifi"
introductions,Presentationer
etiquette,Dricks + etikett
slang,Slang (vardagligt)
profanity,Svordomar (grova)
time-scheduling,Tid + schemaläggning
time-words,Tidsord
days-of-week,Veckodagar
months,Månader
pronouns-verbs,Kärnord + mönster
question-words,Fråge- + småord
payment-receipt,Betalning + kvitto
numbers-money,Siffror + pengar
atm-cash,Bankomat + kontanter
dietary-needs,Kostbehov
utility-templates,Byggstenar
shopping,Handla
color-size-returns,"Färg, storlek + returer"
tax-refund,Momsåterbäring
food-ordering,Mat + beställning
attractions-tickets,Attraktioner + biljetter
children,Med barn
directions,Vägbeskrivning
quick-directions,Kort vägbeskrivning
taxi,Taxi
building-help,Hjälp i byggnaden
accessibility,Tillgänglighet + rörlighet
transit-rides,Kollektivtrafik + resor
in-a-building,I en byggnad
toilets,Toaletter
building-words,Byggnadsord
hotel-words,Hotellord
hotel-basics,"Hotell, grunder"
hotel-requests,Hotellönskemål
room-problems,Rumsproblem
laundry,Tvätt
place-words,Platsord
border-customs,Gräns + tull
trail-words,Vandringsord
pickup-meeting,Hämtning + möte
rail-station-words,Tåg + stationsord
common-signs,Vanliga skyltar
weather,Väder + förhållanden
hiking-parks,Vandring + parker
trail-conditions,Förhållanden + rutt
trail-transport,Transport + service
trail-warnings,Varningar på leden
trail-landmarks,Landmärken + service
emergency-medical,Nödsituation + medicinskt
medical-conditions,Sjukdomar + mediciner
pharmacy-symptoms,Apotek + symtom
body-parts,Kroppsdelar
lost-rescue,Borttappat + räddning
police-consulate,"Polis, stöld + konsulat"
