section_id,title
social-basics,Sosial + dasar
communication,Komunikasi
quick-responses,Jawapan ringkas
phone-translation,Terjemahan di telefon
phone-text-power,"Telefon, pesan + daya"
sim-data,"SIM, data + Wi-Fi"
introductions,Perkenalan
etiquette,Tip + kebiasaan
slang,Bahasa santai
profanity,Kata kasar (keras)
time-scheduling,Waktu + jadual
time-words,Kata waktu
days-of-week,Nama hari
months,Bulan
pronouns-verbs,Kata inti + pola
question-words,Tanya + kata kecil
payment-receipt,Bayar + resit
numbers-money,Angka + wang
atm-cash,ATM + wang tunai
dietary-needs,Pantangan + alergi
utility-templates,Pola serbaguna
shopping,Berbelanja
color-size-returns,"Warna, ukuran + tukar"
tax-refund,Pengembalian cukai
food-ordering,Makan + pesan
attractions-tickets,Pelancongan + tiket
children,Dengan anak
directions,Arah jalan
quick-directions,Arah singkat
taxi,Teksi
building-help,Bantuan di bangunan
accessibility,Akses + mobilitas
transit-rides,Pengangkutan awam
in-a-building,Di dalam bangunan
toilets,Tandas
building-words,Kata bangunan
hotel-words,Kata hotel
hotel-basics,Hotel dasar
hotel-requests,Permintaan hotel
room-problems,Masalah bilik
laundry,Laundry
place-words,Nama tempat
border-customs,Imigresen + Kastam
trail-words,Kata jalur
pickup-meeting,Penjemputan + temu
rail-station-words,Keretapi + stesen
common-signs,Rambu umum
weather,Cuaca + kondisi
hiking-parks,Pendakian + taman
trail-conditions,Kondisi + laluan
trail-transport,Pengangkutan + perkhidmatan
trail-warnings,Peringatan jalur
trail-landmarks,Penanda + kemudahan
emergency-medical,Darurat + perubatan
medical-conditions,Penyakit + ubat
pharmacy-symptoms,Farmasi + gejala
body-parts,Bahagian tubuh
lost-rescue,Barang hilang + SAR
police-consulate,"Polis, curi + konsulat"
