section_id,title
social-basics,Social + basics
communication,Communication
quick-responses,Quick responses
phone-translation,Phone translation
phone-text-power,"Phone, text + power"
sim-data,"SIM, data + Wi-Fi"
introductions,Introductions
etiquette,Tipping + etiquette
time-scheduling,Time + scheduling
time-words,Time words
days-of-week,Days of the week
months,Months
pronouns-verbs,Core words + patterns
question-words,Question + small words
payment-receipt,Payment + receipt
numbers-money,Numbers + money
atm-cash,ATM + cash
dietary-needs,Dietary needs
utility-templates,Utility templates
shopping,Shopping
color-size-returns,"Color, size + returns"
tax-refund,Tax refund
food-ordering,Food + ordering
attractions-tickets,Attractions + tickets
children,With children
directions,Directions
quick-directions,Quick directions
taxi,Taxi
building-help,Building help
accessibility,Access + mobility
transit-rides,Transit + rides
in-a-building,In a building
toilets,Toilets
building-words,Building words
hotel-words,Hotel words
hotel-basics,Hotel basics
hotel-requests,Hotel requests
room-problems,Room problems
laundry,Laundry
place-words,Place words
border-customs,Border + customs
trail-words,Trail words
pickup-meeting,Pickup + meeting
rail-station-words,Rail + station words
common-signs,Common signs
weather,Weather + conditions
hiking-parks,Hiking + parks
trail-conditions,Conditions + route
trail-transport,Transport + services
trail-warnings,Trail warnings
trail-landmarks,Trail landmarks + services
emergency-medical,Emergency + medical
medical-conditions,Conditions + medication
pharmacy-symptoms,Pharmacy + symptoms
body-parts,Body parts
lost-rescue,Lost items + rescue
police-consulate,"Police, theft + consulate"
