section_id,title
social-basics,Social + básicos
communication,Comunicación
quick-responses,Respuestas rápidas
phone-translation,Traducción con móvil
phone-text-power,"Móvil, mensajes + carga"
sim-data,"SIM, datos + Wi-Fi"
introductions,Presentaciones
etiquette,Propina + costumbres
slang,Jerga (informal)
time-scheduling,Hora + citas
time-words,Palabras de tiempo
days-of-week,Días de la semana
months,Meses
pronouns-verbs,Palabras + patrones
question-words,Preguntas + partículas
payment-receipt,Pago + recibo
numbers-money,Números + dinero
atm-cash,Cajero + efectivo
dietary-needs,Dieta
utility-templates,Plantillas útiles
shopping,Compras
color-size-returns,"Color, talla + cambios"
tax-refund,Devolución de IVA
food-ordering,Comida + pedidos
attractions-tickets,Lugares + entradas
children,Con niños
directions,Direcciones
quick-directions,Direcciones rápidas
taxi,Taxi
building-help,Ayuda en el edificio
accessibility,Acceso + movilidad
transit-rides,Transporte + trayectos
in-a-building,En un edificio
toilets,Baños
building-words,Palabras de edificio
hotel-words,Palabras de hotel
hotel-basics,Hotel básico
hotel-requests,Peticiones al hotel
room-problems,Problemas de la habitación
laundry,Lavandería
place-words,Palabras de lugar
border-customs,Frontera + aduana
trail-words,Palabras de sendero
pickup-meeting,Recogida + encuentro
rail-station-words,Tren + estación
common-signs,Señales comunes
weather,Tiempo + condiciones
hiking-parks,Senderismo + parques
trail-conditions,Estado + ruta
trail-transport,Transporte + servicios
trail-warnings,Avisos del sendero
trail-landmarks,Hitos + servicios
emergency-medical,Emergencia + médico
medical-conditions,Afecciones + medicación
pharmacy-symptoms,Farmacia + síntomas
body-parts,Partes del cuerpo
lost-rescue,Objetos perdidos + rescate
police-consulate,"Policía, robo + consulado"
