section_id,title
social-basics,Gaisuwa + tushe
communication,Sadarwa
quick-responses,Amsoshi na sauri
phone-translation,Fassara ta waya
phone-text-power,"Waya, rubutu + wutar lantarki"
sim-data,"SIM, data + Wi-Fi"
introductions,Gabatarwa
etiquette,Tip + ladabi
slang,Yaren titi (na yau da kullum)
profanity,Zage-zage (masu tsanani)
time-scheduling,Lokaci + tsari
time-words,Kalmomin lokaci
days-of-week,Kwanakin mako
months,Watanni
pronouns-verbs,Kalmomin tushe + tsari
question-words,Kalmomin tambaya + kanana
payment-receipt,Biya + rasit
numbers-money,Lambobi + kudi
atm-cash,ATM + kudi
dietary-needs,Bukatun abinci
utility-templates,Tsare-tsaren amfani
shopping,Sayayya
color-size-returns,"Launi, girma + mayarwa"
tax-refund,Mayar da haraji
food-ordering,Odar abinci
attractions-tickets,Wuraren shakatawa + tikiti
children,Tare da yara
directions,Hanyoyi
quick-directions,Hanyoyi na sauri
taxi,Taksi
building-help,Taimako a gini
accessibility,Shiga + tafiya (nakasassu)
transit-rides,Bas + jirgin kasa
in-a-building,A cikin gini
toilets,Bayan gida
building-words,Kalmomin gini
hotel-words,Kalmomin otal
hotel-basics,Tushen otal
hotel-requests,Bukatun otal
room-problems,Matsalolin daki
laundry,Wanki
place-words,Kalmomin wurare
border-customs,Kan iyaka + kwastam
trail-words,Kalmomin hanya
pickup-meeting,Daukar mutane + haduwa
rail-station-words,Kalmomin tashar jirgin kasa
common-signs,Alamomi na kowa
weather,Yanayi
hiking-parks,Tafiya a gandun daji
trail-conditions,Yanayin hanya
trail-transport,Sufuri + hidimomi
trail-warnings,Gargadin hanya
trail-landmarks,Alamomin hanya + hidimomi
emergency-medical,Gaggawa + likita
medical-conditions,Cututtuka + magani
pharmacy-symptoms,Kantin magani + alamomin rashin lafiya
body-parts,Sassan jiki
lost-rescue,Abubuwan da suka bata + ceto
police-consulate,"'Yan sanda, sata + ofishin jakadanci"
