section_id,title
social-basics,חברה ויסודות
communication,תקשורת
quick-responses,תשובות מהירות
phone-translation,תרגום בטלפון
phone-text-power,"טלפון, הודעות וחשמל"
sim-data,"סים, גלישה ו-Wi-Fi"
introductions,היכרות
etiquette,טיפ ונימוסים
slang,סלנג (מדובר)
time-scheduling,זמן ותיאום
time-words,מילות זמן
days-of-week,ימי השבוע
months,חודשים
pronouns-verbs,מילות יסוד ותבניות
question-words,מילות שאלה וקישור
payment-receipt,תשלום וקבלה
numbers-money,מספרים וכספים
atm-cash,כספומט ומזומן
dietary-needs,צרכים תזונתיים
utility-templates,תבניות שימושיות
shopping,קניות
color-size-returns,"צבע, מידה והחזרות"
tax-refund,החזר מע״ם
food-ordering,אוכל והזמנה
attractions-tickets,אתרים וכרטיסים
children,עם ילדים
directions,הכוונה
quick-directions,הכוונה מהירה
taxi,מונית
building-help,עזרה בבניין
accessibility,נגישות וניידות
transit-rides,תחבורה ונסיעות
in-a-building,בתוך בניין
toilets,שירותים
building-words,מילות בניין
hotel-words,מילות מלון
hotel-basics,מלון: יסודות
hotel-requests,מלון: בקשות
room-problems,תקלות בחדר
laundry,כביסה
place-words,מילות מקום
border-customs,גבול ומכס
trail-words,מילות שביל
pickup-meeting,איסוף ומפגש
rail-station-words,רכבת ותחנה
common-signs,שלטים נפוצים
weather,מזג אוויר ותנאים
hiking-parks,טיולים ופארקים
trail-conditions,תנאים ומסלול
trail-transport,תחבורה ושירותים
trail-warnings,אזהרות בשביל
trail-landmarks,ציוני דרך ושירותים
emergency-medical,חירום ורפואה
medical-conditions,מחלות ותרופות
pharmacy-symptoms,בית מרקחת וסימפטומים
body-parts,חלקי הגוף
lost-rescue,אבידות וחילוץ
police-consulate,"משטרה, גניבה וקונסוליה"
