section_id,title
social-basics,Social + bases
communication,Communication
quick-responses,Réponses rapides
phone-translation,Traduction au téléphone
phone-text-power,"Téléphone, SMS + charge"
sim-data,"SIM, données + Wi-Fi"
introductions,Présentations
etiquette,Pourboire + usages
slang,Argot (familier)
time-scheduling,Heure + rendez-vous
time-words,Mots de temps
days-of-week,Jours de la semaine
months,Mois
pronouns-verbs,Mots + tournures
question-words,Questions + petits mots
payment-receipt,Paiement + reçu
numbers-money,Nombres + argent
atm-cash,Distributeur + espèces
dietary-needs,Régime alimentaire
utility-templates,Tournures utiles
shopping,Achats
color-size-returns,"Couleur, taille + retours"
tax-refund,Détaxe
food-ordering,Manger + commander
attractions-tickets,Sites + billets
children,Avec des enfants
directions,Itinéraire
quick-directions,Itinéraire rapide
taxi,Taxi
building-help,Aide dans le bâtiment
accessibility,Accès + mobilité
transit-rides,Transports + trajets
in-a-building,Dans un bâtiment
toilets,Toilettes
building-words,Mots de bâtiment
hotel-words,Mots d’hôtel
hotel-basics,"Hôtel, l’essentiel"
hotel-requests,Demandes à l’hôtel
room-problems,Problèmes de chambre
laundry,Blanchisserie
place-words,Mots de lieu
border-customs,Frontière + douane
trail-words,Mots de sentier
pickup-meeting,Rendez-vous + départ
rail-station-words,Train + gare
common-signs,Panneaux courants
weather,Météo + conditions
hiking-parks,Randonnée + parcs
trail-conditions,État + itinéraire
trail-transport,Transports + services
trail-warnings,Avertissements
trail-landmarks,Repères + services
emergency-medical,Urgence + médical
medical-conditions,Maladies + traitements
pharmacy-symptoms,Pharmacie + symptômes
body-parts,Parties du corps
lost-rescue,Objets perdus + secours
police-consulate,"Police, vol + consulat"
