section_id,title
social-basics,मूलभूत गोष्टी
communication,संभाषण
quick-responses,छोटी उत्तरे
phone-translation,फोनवरून भाषांतर
phone-text-power,"फोन, मेसेज + चार्जिंग"
sim-data,"सिम, डेटा + वाय-फाय"
introductions,ओळख
etiquette,टिप + शिष्टाचार
slang,बोलीभाषा
profanity,शिव्या (कडक)
time-scheduling,वेळ + भेट
time-words,वेळेचे शब्द
days-of-week,आठवड्याचे वार
months,महिने
pronouns-verbs,मुख्य शब्द + रचना
question-words,प्रश्न + छोटे शब्द
payment-receipt,पैसे + पावती
numbers-money,आकडे + पैसे
atm-cash,एटीएम + रोख
dietary-needs,आहाराच्या गरजा
utility-templates,उपयोगी रचना
shopping,खरेदी
color-size-returns,"रंग, साईझ + परतावा"
tax-refund,कर परतावा
food-ordering,जेवण + ऑर्डर
attractions-tickets,प्रेक्षणीय स्थळे + तिकीट
children,मुलांसोबत
directions,रस्ता
quick-directions,छोटे मार्गदर्शन
taxi,टॅक्सी + रिक्षा
building-help,इमारतीत मदत
accessibility,प्रवेश + ये-जा
transit-rides,प्रवास + वाहन
in-a-building,इमारतीच्या आत
toilets,स्वच्छतागृह
building-words,इमारतीचे शब्द
hotel-words,हॉटेलचे शब्द
hotel-basics,हॉटेलच्या गरजा
hotel-requests,हॉटेलकडे विनंती
room-problems,खोलीतील अडचणी
laundry,कपडे धुणे
place-words,जागांचे शब्द
border-customs,सीमा + सीमाशुल्क
trail-words,पायवाटेचे शब्द
pickup-meeting,पिकअप + भेट
rail-station-words,रेल्वे स्टेशन
common-signs,सर्वसाधारण पाट्या
weather,हवामान + परिस्थिती
hiking-parks,ट्रेकिंग + उद्याने
trail-conditions,वाटेची स्थिती
trail-transport,वाहतूक + सुविधा
trail-warnings,वाटेवरील इशारे
trail-landmarks,खुणा + सुविधा
emergency-medical,आणीबाणी + डॉक्टर
medical-conditions,आजार + औषध
pharmacy-symptoms,मेडिकल + लक्षणे
body-parts,शरीराचे अवयव
lost-rescue,हरवलेले सामान + बचाव
police-consulate,"पोलीस, चोरी + दूतावास"
