metabolite_name	refmet_name	rt	mz	neutral_mass	formula
Valine-d8 [iSTD]	Valine-d8 [iSTD]	7.429	126.13634	125.129195	C5H3D8NO2
Phenylalanine-d8 [iSTD]	Phenylalanine-d8 [iSTD]	6.7	174.13622	173.129195	C9H3D8NO2
Cotinine	Cotinine	5.2	177.101964299999	176.094962999999	C10H12N2O
Piperine	Piperine	2.00999999999999	286.1435884	285.136494	C17H19NO3
N1-Methyl-4-pyridone-3-carboxamide	N1-Methyl-4-pyridone-3-carboxamide	5.03	153.065707	152.058578	C7H8N2O2
4-Aminohippuric acid	4-Aminohippuric acid	2.39	195.0763138	194.069143	C9H10N2O3
S-Adenosylmethionine	S-Adenosylmethionine	10.18	399.1442725	399.144517417	C15H23N6O5S+
Hexose	Hexose	4.79399999999999	203.052439999999	180.06339	C6H12O6
gamma-Aminobutyric acid	gamma-Aminobutyric acid	7.634	104.0704	103.063329	C4H9NO2
Aminoisobutyric acid	Aminoisobutyric acid	7.743	104.07039	103.063329	C4H9NO2
Pantothenol	Pantothenol	3.88	206.1385213	205.131409	C9H19NO4
NA-Gly 18:1	NA-Gly 18:1	2.45	340.2843829	339.277344	C20H37NO3
Palmitoleoyl-EA	Palmitoleoyl-EA	2.04	298.273876299999	297.266779	C18H35NO2
Palmitoyl-EA	Palmitoyl-EA	2.04	300.2895499	299.282429	C18H37NO2
Linoleoyl-EA	Linoleoyl-EA	2.02999999999999	324.2894759	323.282429	C20H37NO2
Oleoyl-EA	Oleoyl-EA	2.02	326.305143999999	325.298079	C20H39NO2
Eicosanoyl-EA	Eicosanoyl-EA	2.02	356.3517152	355.345029	C22H45NO2
Stearamide	Stearamide	1.96	284.294594	283.287514	C18H37NO
Putrescine	Putrescine	9.44	89.1071670099999	88.100048	C4H12N2
Tetradecylamine	Tetradecylamine	5.83	214.2527503	213.245649	C14H31N
3-Dehydroxycarnitine	3-Dehydroxycarnitine	8.83	146.1174761	145.110279	C7H15NO2
CAR 2:0	CAR 2:0	8.73	204.122710299999	203.115759	C9H17NO4
CAR 3:0	CAR 3:0	8.36999999999999	218.1384992	217.131409	C10H19NO4
CAR 4:1	CAR 4:1	8.05	230.1384875	229.131409	C11H19NO4
CAR 4:0	CAR 4:0	8.02999999999999	232.1541262	231.147058999999	C11H21NO4
CAR 5:1	CAR 5:1	7.9	244.154140299999	243.147058999999	C12H21NO4
CAR 5:0	CAR 5:0	7.79	246.1697906	245.162709	C12H23NO4
CAR DC3:0	CAR DC3:0	9.43	248.112713	247.105589	C10H17NO6
CAR 4:0;OH	CAR 4:0;OH	8.93	248.149072899999	247.141974	C11H21NO5
CAR 6:1	CAR 6:1	7.7	258.169776099999	257.162709	C13H23NO4
CAR 6:0	CAR 6:0	7.54	260.185424899999	259.178359	C13H25NO4
CAR DC4:0	CAR DC4:0	8.55	262.1283617	261.121239	C11H19NO6
CAR 5:0;OH	CAR 5:0;OH	8.77999999999999	262.1646918	261.157624	C12H23NO5
CAR 7:1	CAR 7:1	7.52	272.185493399999	271.178359	C14H25NO4
CAR 7:0	CAR 7:0	7.43	274.2011023	273.194009	C14H27NO4
CAR DC5:0	CAR DC5:0	8.34	276.1439869	275.136889	C12H21NO6
CAR 6:0;OH	CAR 6:0;OH	8.25	276.180368999999	275.173274	C13H25NO5
CAR 8:1	CAR 8:1	7.39	286.2011124	285.194009	C15H27NO4
CAR 8:0	CAR 8:0	7.32	288.2167724	287.209659	C15H29NO4
CAR DC6:0	CAR DC6:0	8.15	290.1596567	289.152539	C13H23NO6
CAR 9:0	CAR 9:0	7.2	302.232302199999	301.225309	C16H31NO4
CAR DC7:0	CAR DC7:0	7.96	304.1752831	303.168189	C14H25NO6
CAR 8:0;OH	CAR 8:0;OH	7.77	304.2117066	303.204574	C15H29NO5
CAR 10:3	CAR 10:3	7.3	310.201115399999	309.194009	C17H27NO4
CAR 10:2	CAR 10:2	7.23299999999999	312.21683	311.209659	C17H29NO4
CAR 10:1	CAR 10:1	7.15	314.2323567	313.225309	C17H31NO4
CAR 10:0	CAR 10:0	7.11	316.247970599999	315.240959	C17H33NO4
CAR 11:0	CAR 11:0	6.984	330.26364	329.256609	C18H35NO4
CAR 10:0;OH	CAR 10:0;OH	7.5	332.242946599999	331.235873999999	C17H33NO5
CAR 12:2	CAR 12:2	6.97499999999999	340.24802	339.240959	C19H33NO4
CAR 12:1	CAR 12:1	6.93	342.263616	341.256608999999	C19H35NO4
CAR 12:0	CAR 12:0	6.9	344.2792554	343.272259	C19H37NO4
CAR 13:1	CAR 13:1	6.8	356.279154399999	355.272259	C20H37NO4
CAR 13:0	CAR 13:0	6.748	358.294829999999	357.287909	C20H39NO4
CAR 12:0;OH	CAR 12:0;OH	7.351	360.27417	359.267174	C19H37NO5
CAR 14:3	CAR 14:3	6.9	366.2636299	365.256608999999	C21H35NO4
CAR 14:2	CAR 14:2	6.79	368.2792375	367.272259	C21H37NO4
CAR 14:1	CAR 14:1	6.72	370.2948753	369.287909	C21H39NO4
CAR 14:0	CAR 14:0	6.73	372.310743399999	371.303559	C21H41NO4
CAR 15:1	CAR 15:1	6.692	384.31049	383.303559	C22H41NO4
CAR 15:0	CAR 15:0	6.66	386.326113099999	385.319209	C22H43NO4
CAR 14:0;OH	CAR 14:0;OH	7.22799999999999	388.305569999999	387.298474	C21H41NO5
CAR 16:3	CAR 16:3	6.72	394.294792299999	393.287909	C23H39NO4
CAR 16:2	CAR 16:2	6.67	396.310421299999	395.303559	C23H41NO4
CAR 16:1	CAR 16:1	6.63	398.3260035	397.319209	C23H43NO4
CAR 16:0	CAR 16:0	6.62	400.341643799999	399.334859	C23H45NO4
CAR 16:0;OH	CAR 16:0;OH	7.07	416.3365896	415.329774	C23H45NO5
CAR 18:3	CAR 18:3	6.63	422.3260434	421.319209	C25H43NO4
CAR 18:2	CAR 18:2	6.56	424.341669799999	423.334859	C25H45NO4
CAR 18:1	CAR 18:1	6.51	426.3573804	425.350509	C25H47NO4
CAR 18:0	CAR 18:0	6.48	428.372970899999	427.366159	C25H49NO4
CAR 18:1;OH	CAR 18:1;OH	6.98	442.352400199999	441.345424	C25H47NO5
CAR 18:0;OH	CAR 18:0;OH	6.96	444.3678919	443.361074	C25H49NO5
CAR 20:4	CAR 20:4	6.46	448.341806799999	447.334859	C27H45NO4
CAR 20:3	CAR 20:3	6.48	450.357283499999	449.350509	C27H47NO4
CAR 20:2	CAR 20:2	6.46	452.3730152	451.366159	C27H49NO4
CAR 20:1	CAR 20:1	6.41	454.388686899999	453.381809	C27H51NO4
CAR 20:0	CAR 20:0	6.38	456.4042144	455.397458999999	C27H53NO4
DG 36:4	DG 36:4	1.61	634.540022799999	616.506675	C39H68O5
DG 36:3	DG 36:3	1.61	636.555711999999	618.522324999999	C39H70O5
DG 36:2	DG 36:2	1.6	638.571776399999	620.537975	C39H72O5
TG 44:2	TG 44:2	1.56	764.6756645	746.64244	C47H86O6
TG 44:1	TG 44:1	1.55	766.6908825	748.658089999999	C47H88O6
TG 46:2	TG 46:2	1.55	792.706814399999	774.67374	C49H90O6
LPC 14:0	LPC 14:0	7.87	468.30829	467.301192	C22H46NO7P
LPC 15:0	LPC 15:0	7.782	482.32404	481.316842	C23H48NO7P
LPC 16:1	LPC 16:1	7.77	494.3238767	493.316842	C24H48NO7P
LPC 16:0	LPC 16:0	7.72	496.339506099999	495.332492	C24H50NO7P
LPC 17:0	LPC 17:0	7.67	510.3565203	509.348142	C25H52NO7P
LPC 18:2	LPC 18:2	7.7	520.339548	519.332492	C26H50NO7P
LPC 18:1	LPC 18:1	7.65	522.355224199999	521.348142	C26H52NO7P
LPC 18:0	LPC 18:0	7.56	524.370792	523.363792	C26H54NO7P
LPC 20:4	LPC 20:4	7.51199999999999	544.339899999999	543.332492	C28H50NO7P
LPC P-16:0 or LPC O-16:1	LPC P-16:0 or LPC O-16:1	7.54	480.3446308	479.337577	C24H50NO6P
LPC O-16:0	LPC O-16:0	7.83	482.360265799999	481.353227	C24H52NO6P
LPC P-18:1 or LPC O-18:2	LPC P-18:1 or LPC O-18:2	7.48	506.360250899999	505.353227	C26H52NO6P
