concept_id,text,text_alt,romanization_iso15919,ipa,literal,confidence,provenance
time-scheduling.what-time-is-it,কয়টা বাজে?,কটা বাজে?,kaẏaṭā bāje?,kˈɔjɔʈˌa bˈaɟe,the variant is West Bengali,2,bn-agent-v1;ipa=espeak
time-scheduling.how-many-minutes,কত মিনিট?,,kata miniṭa?,kˈɔto mˈiniʈ,,2,bn-agent-v1;ipa=espeak
time-scheduling.what-time-should-we-meet,কয়টায় দেখা করব?,,kaẏaṭāẏa dekhā karaba?,kˈɔjɔʈˌaj dˈekʰa kˈɔɾɔb,,2,bn-agent-v1;ipa=espeak
time-scheduling.can-we-change-the-time,সময়টা বদলানো যাবে কি?,,samaẏaṭā badalāno yābe ki?,ʃˈɔmɔjˌɔʈa bˈɔdɔlˌano dʒˈabe ki,,2,bn-agent-v1;ipa=espeak
time-scheduling.when-is-convenient,আপনার কখন সুবিধা হবে?,,āpanāra kakhana subidhā habe?,ˌapɔnˌaɾ kˌɔkʰɔn ʃˈubidʰˌa hˈɔbe,when will it suit you?,2,bn-agent-v1;ipa=espeak
time-scheduling.what-is-today-s-date,আজ কী তারিখ?,,āja kī tārikha?,ˈaɟ kˈi tˈaɾikʰ,,2,bn-agent-v1;ipa=espeak
time-scheduling.what-day-is-it-today,আজ কী বার?,,āja kī bāra?,ˈaɟ kˈi bˈaɾ,which weekday is today?,2,bn-agent-v1;ipa=espeak
time-scheduling.what-time-does-it-open,কয়টায় খোলে?,,kaẏaṭāẏa khole?,kˈɔjɔʈˌaj kʰˈole,,2,bn-agent-v1;ipa=espeak
time-scheduling.what-time-does-it-close,কয়টায় বন্ধ হয়?,,kaẏaṭāẏa bandha haẏa?,kˈɔjɔʈˌaj bˈɔndʰɔ hˌɔj,,2,bn-agent-v1;ipa=espeak
time-scheduling.how-long-does-it-take,কত সময় লাগবে?,,kata samaẏa lāgabe?,kˈɔto ʃˈɔmɔj lˈaɡɔbˌe,,2,bn-agent-v1;ipa=espeak
time-words.today,আজ,,āja,ˈaɟ,,2,bn-agent-v1;ipa=espeak
time-words.tomorrow,আগামীকাল,কাল,āgāmīkāla,ˈaɡamˌikal,কাল on its own is either tomorrow or yesterday,2,bn-agent-v1;ipa=espeak
time-words.yesterday,গতকাল,কাল,gatakāla,ɡˈɔtɔkˌal,"the same কাল as tomorrow, and the prefix is what disambiguates",2,bn-agent-v1;ipa=espeak
time-words.this-week,এই সপ্তাহে,,ei saptāhe,ˌei ʃˈɔptahˌe,,2,bn-agent-v1;ipa=espeak
time-words.next-week,আগামী সপ্তাহে,,āgāmī saptāhe,ˈaɡamˌi ʃˈɔptahˌe,,2,bn-agent-v1;ipa=espeak
time-words.morning,সকাল,,sakāla,ʃˈɔkal,,2,bn-agent-v1;ipa=espeak
time-words.afternoon,দুপুর,বিকেল,dupura,dˈupuɾ,"দুপুর is midday, বিকেল the late afternoon",2,bn-agent-v1;ipa=espeak
time-words.evening,সন্ধ্যা,,sandhyā,ʃˈɔndʰːa,,2,bn-agent-v1;ipa=espeak
time-words.spring,বসন্ত,,basanta,bˈɔʃɔntˌo,,2,bn-agent-v1;ipa=espeak
time-words.summer,গ্রীষ্ম,,grīṣma,ɡɾˈiʃmɔ,,2,bn-agent-v1;ipa=espeak
time-words.fall,শরৎ,হেমন্ত,śarat,ʃˈɔɾɔt,the Bengali calendar has six seasons: শরৎ is early autumn and হেমন্ত the late one,2,bn-agent-v1;ipa=espeak
time-words.winter,শীত,,śīta,ʃˈito,,2,bn-agent-v1;ipa=espeak
time-words.night,রাত,,rāta,ɾˈato,,2,bn-agent-v1;ipa=espeak
days-of-week.monday,সোমবার,,somabāra,ʃˈombaɾ,,2,bn-agent-v1;ipa=espeak
days-of-week.tuesday,মঙ্গলবার,,maṅgalabāra,mɔnɡˈolbˌaɾ,,2,bn-agent-v1;ipa=espeak
days-of-week.wednesday,বুধবার,,budhabāra,bˈudhbˌaɾ,,2,bn-agent-v1;ipa=espeak
days-of-week.thursday,বৃহস্পতিবার,,br̥haspatibāra,bɾˈihɔʃpˌɔtibˌaɾ,,2,bn-agent-v1;ipa=espeak
days-of-week.friday,শুক্রবার,,śukrabāra,ʃˈukɾɔbˌaɾ,the weekly holiday in Bangladesh,2,bn-agent-v1;ipa=espeak
days-of-week.saturday,শনিবার,,śanibāra,ʃˈonibˌaɾ,,2,bn-agent-v1;ipa=espeak
days-of-week.sunday,রবিবার,,rabibāra,ɾˈobibˌaɾ,,2,bn-agent-v1;ipa=espeak
months.january,জানুয়ারি,,jānuẏāri,ɟˈanuˌaɾi,,2,bn-agent-v1;ipa=espeak
months.february,ফেব্রুয়ারি,,phebruẏāri,fˈebɾuˌaɾi,,2,bn-agent-v1;ipa=espeak
months.march,মার্চ,,mārca,mˈaɾtʃɔ,,2,bn-agent-v1;ipa=espeak
months.april,এপ্রিল,,eprila,ˈepɾil,,2,bn-agent-v1;ipa=espeak
months.may,মে,,me,mˈe,,2,bn-agent-v1;ipa=espeak
months.june,জুন,,juna,ɟˈun,,2,bn-agent-v1;ipa=espeak
months.july,জুলাই,,julāi,ɟˈulaˌi,,2,bn-agent-v1;ipa=espeak
months.august,আগস্ট,,āgasṭa,ˈaɡɔʃʈˌɔ,,2,bn-agent-v1;ipa=espeak
months.september,সেপ্টেম্বর,,sepṭembara,ʃˈepʈembˌɔɾ,,2,bn-agent-v1;ipa=espeak
months.october,অক্টোবর,,akṭobara,ˈɔkʈobˌɔɾ,,2,bn-agent-v1;ipa=espeak
months.november,নভেম্বর,,nabhembara,nˈɔbʰembˌɔɾ,,2,bn-agent-v1;ipa=espeak
months.december,ডিসেম্বর,,ḍisembara,ɖˈiʃembˌɔɾ,,2,bn-agent-v1;ipa=espeak
time-words.clock-offset,"স্বাহিলি ঘড়ি শুরু হয় সূর্যোদয় থেকে, আপনার ফোনের ঘড়ির চেয়ে ছয় ঘণ্টা সরে: যে সংখ্যা শুনবেন তার সঙ্গে ছয় যোগ করলে আপনার ঘড়ির সময় পাবেন। saa moja = 7:00, saa sita = দুপুর 12:00, saa kumi = 16:00। গোলমাল এড়াতে সময়টা অঙ্কে বলুন, বা পশ্চিমা সময়ের জন্য saa ngapi za kizungu জিজ্ঞেস করুন।",,"sbāhili ghaṛi śuru haẏa sūryodaẏa theke, āpanāra phonera ghaṛira ceẏe chaẏa ghaṇṭā sare: ye saṁkhyā śunabena tāra saṅge chaẏa yoga karale āpanāra ghaṛira samaẏa pābena। saa moja = 7:00, saa sita = dupura 12:00, saa kumi = 16:00। golamāla eṛāte samaẏaṭā aṅke baluna, bā paścimā samaẏera janya saa ngapi za kizungu jijñesa karuna।",,,2,bn-notes-v1
