concept_id,text,text_alt,romanization_iso15919,ipa,literal,confidence,provenance
hotel-words.passport,ପାସପୋର୍ଟ,,pāsapōrṭa,pˌasɔpˈoɾʈɔ,,2,Odisha Tourism (OTDC) visitor information and bilingual site boards; Odisha public signage; Bhubaneswar and Cuttack municipal and public-utility notices;ipa=espeak
hotel-words.room-key-card,କୋଠରୀ ଚାବି କାର୍ଡ,,kōṭharī cābi kārḍa,kˈoʈʰɔɾˌi tʃˈabi kˈaɾɖɔ,,2,Odisha Tourism (OTDC) visitor information and bilingual site boards; Odisha public signage; Bhubaneswar and Cuttack municipal and public-utility notices;ipa=espeak
hotel-words.check-in,ଚେକ୍-ଇନ୍,,cēk-in,tʃˈekin,,2,Odisha Tourism (OTDC) visitor information and bilingual site boards; Odisha public signage; Bhubaneswar and Cuttack municipal and public-utility notices;ipa=espeak
hotel-words.check-out,ଚେକ୍-ଆଉଟ୍,,cēk-āuṭ,tʃˈekauʈ,,2,Odisha Tourism (OTDC) visitor information and bilingual site boards; Odisha public signage; Bhubaneswar and Cuttack municipal and public-utility notices;ipa=espeak
hotel-words.luggage-storage,ଜିନିଷ ରଖିବା ଜାଗା,,jiniṣa rakhibā jāgā,ɟˈinisˌɔ ɾˈɔkʰibˌa ɟˈaɡa,place for keeping things,2,Odisha Tourism (OTDC) visitor information and bilingual site boards; Odisha public signage; Bhubaneswar and Cuttack municipal and public-utility notices;ipa=espeak
hotel-basics.are-any-rooms-available,କୌଣସି କୋଠରୀ ଖାଲି ଅଛି କି?,,kauṇasi kōṭharī khāli achi ki?,kˈowɳɔsˌi kˈoʈʰɔɾˌi kʰˈali ˈɔtʃʰi kˈi,is any room free?,2,Odisha Tourism (OTDC) visitor information and bilingual site boards; Odisha public signage; Bhubaneswar and Cuttack municipal and public-utility notices;ipa=espeak
hotel-basics.there-are-two-of-us,ଆମେ ଦୁଇ ଜଣ,,āmē dui jaṇa,ˈame dˈui ɟˈɔɳɔ,we [are] two persons,2,Odisha Tourism (OTDC) visitor information and bilingual site boards; Odisha public signage; Bhubaneswar and Cuttack municipal and public-utility notices;ipa=espeak
hotel-basics.i-have-a-reservation,ମୋର ବୁକିଂ ଅଛି,,mōra bukiṁ achi,mˈoɾɔ bˈukiŋ ˈɔtʃʰi,,2,Odisha Tourism (OTDC) visitor information and bilingual site boards; Odisha public signage; Bhubaneswar and Cuttack municipal and public-utility notices;ipa=espeak
hotel-basics.can-i-charge-my-phone,ଫୋନ୍ ଚାର୍ଜ କରିପାରିବି କି?,,phōn cārja karipāribi ki?,pʰˈon tʃˈaɾɟɔ kˈɔɾipˌaɾibˌi kˈi,,2,Odisha Tourism (OTDC) visitor information and bilingual site boards; Odisha public signage; Bhubaneswar and Cuttack municipal and public-utility notices;ipa=espeak
hotel-basics.i-would-like-a-non-smoking-room,ଧୂମପାନ ମୁକ୍ତ କୋଠରୀ ଚାହୁଁଛି,,dhūmapāna mukta kōṭharī cāhum̐chi,dʰˈumɔpˌanɔ mˈuktɔ kˈoʈʰɔɾˌi tʃahˈũtʃʰi,,2,Odisha Tourism (OTDC) visitor information and bilingual site boards; Odisha public signage; Bhubaneswar and Cuttack municipal and public-utility notices;ipa=espeak
