concept_id,text,text_alt,romanization_iso15919,ipa,literal,confidence,provenance
time-scheduling.what-time-is-it,କେତେ ବାଜିଲା?,,kētē bājilā?,kˈete bˈaɟilˌa,how much has struck?,2,"Praharaj, G. C., Pūrṇṇacandra Oṛiā Bhāṣākoṣa (1931-40), Digital Dictionaries of South Asia; Neukom & Patnaik, A Grammar of Oriya (Universität Zürich ASAS 17, 2003);ipa=espeak"
time-scheduling.how-many-minutes,କେତେ ମିନିଟ୍?,,kētē miniṭ?,kˈete mˈiniʈ,,2,"Praharaj, G. C., Pūrṇṇacandra Oṛiā Bhāṣākoṣa (1931-40), Digital Dictionaries of South Asia; Neukom & Patnaik, A Grammar of Oriya (Universität Zürich ASAS 17, 2003);ipa=espeak"
time-scheduling.what-time-should-we-meet,ଆମେ କେତେବେଳେ ଭେଟିବା?,,āmē kētēbēḷē bhēṭibā?,ˈame kˈetebˌeɭˌe bʰˈeʈibˌa,,2,"Praharaj, G. C., Pūrṇṇacandra Oṛiā Bhāṣākoṣa (1931-40), Digital Dictionaries of South Asia; Neukom & Patnaik, A Grammar of Oriya (Universität Zürich ASAS 17, 2003);ipa=espeak"
time-scheduling.can-we-change-the-time,ସମୟ ବଦଳାଇ ହେବ କି?,,samaẏa badaḷāi hēba ki?,sˈɔmɔj bˈɔdɔɭˌai hˈebɔ kˈi,can the time be changed?,2,"Praharaj, G. C., Pūrṇṇacandra Oṛiā Bhāṣākoṣa (1931-40), Digital Dictionaries of South Asia; Neukom & Patnaik, A Grammar of Oriya (Universität Zürich ASAS 17, 2003);ipa=espeak"
time-scheduling.when-is-convenient,ଆପଣଙ୍କୁ କେତେବେଳେ ସୁବିଧା?,,āpaṇaṅku kētēbēḷē subidhā?,ˌapɔnˈɔŋku kˈetebˌeɭˌe sˈubidʰˌa,when is it convenient for you?,2,"Praharaj, G. C., Pūrṇṇacandra Oṛiā Bhāṣākoṣa (1931-40), Digital Dictionaries of South Asia; Neukom & Patnaik, A Grammar of Oriya (Universität Zürich ASAS 17, 2003);ipa=espeak"
time-scheduling.what-is-today-s-date,ଆଜି କେଉଁ ତାରିଖ?,,āji kēum̐ tārikha?,ˈaɟi kˈeũ tˈaɾikʰˌɔ,,2,"Praharaj, G. C., Pūrṇṇacandra Oṛiā Bhāṣākoṣa (1931-40), Digital Dictionaries of South Asia; Neukom & Patnaik, A Grammar of Oriya (Universität Zürich ASAS 17, 2003);ipa=espeak"
time-scheduling.what-day-is-it-today,ଆଜି କେଉଁ ବାର?,,āji kēum̐ bāra?,ˈaɟi kˈeũ bˈaɾɔ,"which weekday is today? — ବାର is the day-name word, so this cannot be confused with the date",2,"Praharaj, G. C., Pūrṇṇacandra Oṛiā Bhāṣākoṣa (1931-40), Digital Dictionaries of South Asia; Neukom & Patnaik, A Grammar of Oriya (Universität Zürich ASAS 17, 2003);ipa=espeak"
time-scheduling.what-time-does-it-open,କେତେବେଳେ ଖୋଲେ?,,kētēbēḷē khōlē?,kˈetebˌeɭˌe kʰˈole,,2,"Praharaj, G. C., Pūrṇṇacandra Oṛiā Bhāṣākoṣa (1931-40), Digital Dictionaries of South Asia; Neukom & Patnaik, A Grammar of Oriya (Universität Zürich ASAS 17, 2003);ipa=espeak"
time-scheduling.what-time-does-it-close,କେତେବେଳେ ବନ୍ଦ ହୁଏ?,,kētēbēḷē banda huē?,kˈetebˌeɭˌe bˈɔndɔ hˈue,,2,"Praharaj, G. C., Pūrṇṇacandra Oṛiā Bhāṣākoṣa (1931-40), Digital Dictionaries of South Asia; Neukom & Patnaik, A Grammar of Oriya (Universität Zürich ASAS 17, 2003);ipa=espeak"
time-scheduling.how-long-does-it-take,କେତେ ସମୟ ଲାଗିବ?,,kētē samaẏa lāgiba?,kˈete sˈɔmɔj lˈaɡibˌɔ,how much time will it take?,2,"Praharaj, G. C., Pūrṇṇacandra Oṛiā Bhāṣākoṣa (1931-40), Digital Dictionaries of South Asia; Neukom & Patnaik, A Grammar of Oriya (Universität Zürich ASAS 17, 2003);ipa=espeak"
