concept_id,text,text_alt,romanization_iso15919,ipa,literal,confidence,provenance
pronouns-verbs.i-me,ମୁଁ / ମୋତେ,,mum̐ / mōtē,mˈũ / mˈote,I / to me,2,"Praharaj, G. C., Pūrṇṇacandra Oṛiā Bhāṣākoṣa (1931-40), Digital Dictionaries of South Asia; Neukom & Patnaik, A Grammar of Oriya (Universität Zürich ASAS 17, 2003);ipa=espeak"
pronouns-verbs.we-us,ଆମେ / ଆମକୁ,,āmē / āmaku,ˈame / ˈamɔkˌu,we / to us — Odia marks no clusivity,2,"Praharaj, G. C., Pūrṇṇacandra Oṛiā Bhāṣākoṣa (1931-40), Digital Dictionaries of South Asia; Neukom & Patnaik, A Grammar of Oriya (Universität Zürich ASAS 17, 2003);ipa=espeak"
pronouns-verbs.you,ତୁମେ,,tumē,tˈume,familiar — use ଆପଣ with a stranger,2,"Praharaj, G. C., Pūrṇṇacandra Oṛiā Bhāṣākoṣa (1931-40), Digital Dictionaries of South Asia; Neukom & Patnaik, A Grammar of Oriya (Universität Zürich ASAS 17, 2003);ipa=espeak"
pronouns-verbs.you-polite,ଆପଣ,,āpaṇa,ˈapɔɳˌɔ,use this always,2,"Praharaj, G. C., Pūrṇṇacandra Oṛiā Bhāṣākoṣa (1931-40), Digital Dictionaries of South Asia; Neukom & Patnaik, A Grammar of Oriya (Universität Zürich ASAS 17, 2003);ipa=espeak"
pronouns-verbs.he-him,ସେ / ତାଙ୍କୁ,ତାକୁ,sē / tāṅku,sˈe / tˈaŋku,"he/she and him/her are the same word in Odia — gender-neutral, not a gap; ତାକୁ is the plain grade",2,"Praharaj, G. C., Pūrṇṇacandra Oṛiā Bhāṣākoṣa (1931-40), Digital Dictionaries of South Asia; Neukom & Patnaik, A Grammar of Oriya (Universität Zürich ASAS 17, 2003);ipa=espeak"
pronouns-verbs.she-her,ସେ / ତାଙ୍କୁ,ତାକୁ,sē / tāṅku,sˈe / tˈaŋku,identical to he/him: Odia's third person has no gender split,2,"Praharaj, G. C., Pūrṇṇacandra Oṛiā Bhāṣākoṣa (1931-40), Digital Dictionaries of South Asia; Neukom & Patnaik, A Grammar of Oriya (Universität Zürich ASAS 17, 2003);ipa=espeak"
pronouns-verbs.they-them,ସେମାନେ / ସେମାନଙ୍କୁ,,sēmānē / sēmānaṅku,sˈemanˌe / sˌemanˈɔŋku,they / to them,2,"Praharaj, G. C., Pūrṇṇacandra Oṛiā Bhāṣākoṣa (1931-40), Digital Dictionaries of South Asia; Neukom & Patnaik, A Grammar of Oriya (Universität Zürich ASAS 17, 2003);ipa=espeak"
pronouns-verbs.my-mine,ମୋର,,mōra,mˈoɾɔ,my / mine — no agreement with the thing owned,2,"Praharaj, G. C., Pūrṇṇacandra Oṛiā Bhāṣākoṣa (1931-40), Digital Dictionaries of South Asia; Neukom & Patnaik, A Grammar of Oriya (Universität Zürich ASAS 17, 2003);ipa=espeak"
pronouns-verbs.your-yours,ଆପଣଙ୍କର,ତୁମର,āpaṇaṅkara,ˌapɔnˈɔŋkɔɾˌɔ,polite; ତୁମର is familiar,2,"Praharaj, G. C., Pūrṇṇacandra Oṛiā Bhāṣākoṣa (1931-40), Digital Dictionaries of South Asia; Neukom & Patnaik, A Grammar of Oriya (Universität Zürich ASAS 17, 2003);ipa=espeak"
pronouns-verbs.be-called-call,ନାମ / ଡାକିବା,,nāma / ḍākibā,nˈamɔ / ɖˈakibˌa,name / to call,2,"Praharaj, G. C., Pūrṇṇacandra Oṛiā Bhāṣākoṣa (1931-40), Digital Dictionaries of South Asia; Neukom & Patnaik, A Grammar of Oriya (Universität Zürich ASAS 17, 2003);ipa=espeak"
pronouns-verbs.have,ମୋର ଅଛି,,mōra achi,mˈoɾɔ ˈɔtʃʰi,"of me there is — Odia has no verb ""to have""",2,"Praharaj, G. C., Pūrṇṇacandra Oṛiā Bhāṣākoṣa (1931-40), Digital Dictionaries of South Asia; Neukom & Patnaik, A Grammar of Oriya (Universität Zürich ASAS 17, 2003);ipa=espeak"
pronouns-verbs.do-not-have,ମୋର ନାହିଁ,,mōra nāhim̐,mˈoɾɔ nˈahĩ,of me there is not,2,"Praharaj, G. C., Pūrṇṇacandra Oṛiā Bhāṣākoṣa (1931-40), Digital Dictionaries of South Asia; Neukom & Patnaik, A Grammar of Oriya (Universität Zürich ASAS 17, 2003);ipa=espeak"
pronouns-verbs.go,ଯିବା,,yibā,ɟˈiba,the verbal noun,2,"Praharaj, G. C., Pūrṇṇacandra Oṛiā Bhāṣākoṣa (1931-40), Digital Dictionaries of South Asia; Neukom & Patnaik, A Grammar of Oriya (Universität Zürich ASAS 17, 2003);ipa=espeak"
pronouns-verbs.come,ଆସିବା,,āsibā,ˈasibˌa,the verbal noun,2,"Praharaj, G. C., Pūrṇṇacandra Oṛiā Bhāṣākoṣa (1931-40), Digital Dictionaries of South Asia; Neukom & Patnaik, A Grammar of Oriya (Universität Zürich ASAS 17, 2003);ipa=espeak"
pronouns-verbs.would-like,ଚାହୁଁଛି,,cāhum̐chi,tʃahˈũtʃʰi,I would like,2,"Praharaj, G. C., Pūrṇṇacandra Oṛiā Bhāṣākoṣa (1931-40), Digital Dictionaries of South Asia; Neukom & Patnaik, A Grammar of Oriya (Universität Zürich ASAS 17, 2003);ipa=espeak"
pronouns-verbs.want,ଚାହିଁବା,,cāhim̐bā,tʃahˈĩba,the verbal noun,2,"Praharaj, G. C., Pūrṇṇacandra Oṛiā Bhāṣākoṣa (1931-40), Digital Dictionaries of South Asia; Neukom & Patnaik, A Grammar of Oriya (Universität Zürich ASAS 17, 2003);ipa=espeak"
pronouns-verbs.look-for,ଖୋଜିବା,,khōjibā,kʰˈoɟibˌa,the verbal noun,2,"Praharaj, G. C., Pūrṇṇacandra Oṛiā Bhāṣākoṣa (1931-40), Digital Dictionaries of South Asia; Neukom & Patnaik, A Grammar of Oriya (Universität Zürich ASAS 17, 2003);ipa=espeak"
pronouns-verbs.buy,କିଣିବା,,kiṇibā,kˈiɳibˌa,the verbal noun,2,"Praharaj, G. C., Pūrṇṇacandra Oṛiā Bhāṣākoṣa (1931-40), Digital Dictionaries of South Asia; Neukom & Patnaik, A Grammar of Oriya (Universität Zürich ASAS 17, 2003);ipa=espeak"
pronouns-verbs.like,ଭଲ ଲାଗିବା,,bhala lāgibā,bʰˈɔlɔ lˈaɡibˌa,to be pleasing — Odia likes impersonally: ମୋତେ ଭଲ ଲାଗେ I like it,2,"Praharaj, G. C., Pūrṇṇacandra Oṛiā Bhāṣākoṣa (1931-40), Digital Dictionaries of South Asia; Neukom & Patnaik, A Grammar of Oriya (Universität Zürich ASAS 17, 2003);ipa=espeak"
pronouns-verbs.need,ଦରକାର,,darakāra,dˈɔɾɔkˌaɾɔ,is needed,2,"Praharaj, G. C., Pūrṇṇacandra Oṛiā Bhāṣākoṣa (1931-40), Digital Dictionaries of South Asia; Neukom & Patnaik, A Grammar of Oriya (Universität Zürich ASAS 17, 2003);ipa=espeak"
