concept_id,text,text_alt,romanization_iso15919,ipa,literal,confidence,provenance
building-help.what-room-number-is-this,ଏହା କେଉଁ କୋଠରୀ ନମ୍ବର?,,ēhā kēum̐ kōṭharī nambara?,ˈeha kˈeũ kˈoʈʰɔɾˌi nˈɔmbɔɾˌɔ,,2,"Odisha public signage; Bhubaneswar and Cuttack municipal and public-utility notices; Praharaj, G. C., Pūrṇṇacandra Oṛiā Bhāṣākoṣa (1931-40), Digital Dictionaries of South Asia;ipa=espeak"
building-help.i-am-lost,ମୁଁ ବାଟ ହଜିଯାଇଛି,,mum̐ bāṭa hajiyāichi,mˈũ bˈaʈɔ hˈɔɟiɟˌaitʃʰˌi,I have lost the way,2,"Odisha public signage; Bhubaneswar and Cuttack municipal and public-utility notices; Praharaj, G. C., Pūrṇṇacandra Oṛiā Bhāṣākoṣa (1931-40), Digital Dictionaries of South Asia;ipa=espeak"
building-help.where-is-reception,ରିସେପ୍ସନ୍ କେଉଁଠି?,,risēpsan kēum̐ṭhi?,ɾisˈepsɔn keˈũʈʰi,,2,"Odisha public signage; Bhubaneswar and Cuttack municipal and public-utility notices; Praharaj, G. C., Pūrṇṇacandra Oṛiā Bhāṣākoṣa (1931-40), Digital Dictionaries of South Asia;ipa=espeak"
building-help.where-is-a-power-outlet,ପ୍ଲଗ୍ ପଏଣ୍ଟ କେଉଁଠି ଅଛି?,,plag paēṇṭa kēum̐ṭhi achi?,plˈɔɡ pɔˈeɳʈɔ keˈũʈʰi ˈɔtʃʰi,,2,"Odisha public signage; Bhubaneswar and Cuttack municipal and public-utility notices; Praharaj, G. C., Pūrṇṇacandra Oṛiā Bhāṣākoṣa (1931-40), Digital Dictionaries of South Asia;ipa=espeak"
accessibility.step-free,ପାହାଚ ବିନା ଯିବାର ବାଟ ଅଛି କି?,,pāhāca binā yibāra bāṭa achi ki?,pˈahatʃˌɔ bˈina ɟˈibaɾˌɔ bˈaʈɔ ˈɔtʃʰi kˈi,is there a way in without steps?,2,"Odisha public signage; Bhubaneswar and Cuttack municipal and public-utility notices; Praharaj, G. C., Pūrṇṇacandra Oṛiā Bhāṣākoṣa (1931-40), Digital Dictionaries of South Asia;ipa=espeak"
accessibility.wheelchair-access,ଚକ ଚେୟାର ଯାଇପାରିବ କି?,,caka cēẏāra yāipāriba ki?,tʃˈɔkɔ tʃˈejɔˌaɾɔ ɟˈaipˌaɾibˌɔ kˈi,can a wheelchair go?,2,"Odisha public signage; Bhubaneswar and Cuttack municipal and public-utility notices; Praharaj, G. C., Pūrṇṇacandra Oṛiā Bhāṣākoṣa (1931-40), Digital Dictionaries of South Asia;ipa=espeak"
accessibility.elevator,ଲିଫ୍ଟ ଅଛି କି?,,liphṭa achi ki?,lˈipʰʈɔ ˈɔtʃʰi kˈi,,2,"Odisha public signage; Bhubaneswar and Cuttack municipal and public-utility notices; Praharaj, G. C., Pūrṇṇacandra Oṛiā Bhāṣākoṣa (1931-40), Digital Dictionaries of South Asia;ipa=espeak"
accessibility.ramp,ରାମ୍ପ ଅଛି କି?,ଢାଲୁ ବାଟ,rāmpa achi ki?,ɾˈampɔ ˈɔtʃʰi kˈi,,2,"Odisha public signage; Bhubaneswar and Cuttack municipal and public-utility notices; Praharaj, G. C., Pūrṇṇacandra Oṛiā Bhāṣākoṣa (1931-40), Digital Dictionaries of South Asia;ipa=espeak"
accessibility.how-many-steps,କେତୋଟି ପାହାଚ ଅଛି?,,kētōṭi pāhāca achi?,kˈetoʈˌi pˈahatʃˌɔ ˈɔtʃʰi,,2,"Odisha public signage; Bhubaneswar and Cuttack municipal and public-utility notices; Praharaj, G. C., Pūrṇṇacandra Oṛiā Bhāṣākoṣa (1931-40), Digital Dictionaries of South Asia;ipa=espeak"
accessibility.cannot-climb-stairs,ମୁଁ ପାହାଚ ଚଢ଼ି ପାରିବି ନାହିଁ,,mum̐ pāhāca caṛhi pāribi nāhim̐,mˈũ pˈahatʃˌɔ tʃˈɔɽʰi pˈaɾibˌi nˈahĩ,,2,"Odisha public signage; Bhubaneswar and Cuttack municipal and public-utility notices; Praharaj, G. C., Pūrṇṇacandra Oṛiā Bhāṣākoṣa (1931-40), Digital Dictionaries of South Asia;ipa=espeak"
accessibility.need-to-sit-down,ମୋତେ ବସିବାକୁ ପଡ଼ିବ,,mōtē basibāku paṛiba,mˈote bˈɔsibˌaku pˈɔɽˌibɔ,I shall have to sit down,2,"Odisha public signage; Bhubaneswar and Cuttack municipal and public-utility notices; Praharaj, G. C., Pūrṇṇacandra Oṛiā Bhāṣākoṣa (1931-40), Digital Dictionaries of South Asia;ipa=espeak"
accessibility.accessible-restroom,ଚକ ଚେୟାର ଯାଇପାରୁଥିବା ଶୌଚାଳୟ ଅଛି କି?,,caka cēẏāra yāipāruthibā śaucāḷaẏa achi ki?,tʃˈɔkɔ tʃˈejɔˌaɾɔ ɟˈaipˌaɾutʰˌiba sˈowtʃaɭˌɔj ˈɔtʃʰi kˈi,is there a toilet a wheelchair can get into?,2,"Odisha public signage; Bhubaneswar and Cuttack municipal and public-utility notices; Praharaj, G. C., Pūrṇṇacandra Oṛiā Bhāṣākoṣa (1931-40), Digital Dictionaries of South Asia;ipa=espeak"
accessibility.station-assistance,ଷ୍ଟେସନରେ ସାହାଯ୍ୟ ମିଳିବ କି?,,ṣṭēsanarē sāhāyẏa miḷiba ki?,sʈˈesɔnˌɔɾe sˈahaɟj mˈiɭˌibɔ kˈi,,2,Odisha public signage; East Coast Railway bilingual station and ticket wording; OSRTC and Bhubaneswar city bus wording;ipa=espeak
accessibility.help-me-carry,ଦୟାକରି ଏହା ବୋହିବାରେ ସାହାଯ୍ୟ କରନ୍ତୁ,,daẏākari ēhā bōhibārē sāhāyẏa karantu,dˈɔjɔˌakɔɾˌi ˈeha bˈohibˌaɾe sˈahaɟj kɔɾˈɔntu,,2,"Odisha public signage; Bhubaneswar and Cuttack municipal and public-utility notices; Praharaj, G. C., Pūrṇṇacandra Oṛiā Bhāṣākoṣa (1931-40), Digital Dictionaries of South Asia;ipa=espeak"
accessibility.board-first,ମୁଁ ଆଗେ ଚଢ଼ିପାରିବି କି?,,mum̐ āgē caṛhipāribi ki?,mˈũ ˈaɡe tʃˈɔɽʰipˌaɾibˌi kˈi,may I climb aboard first?,2,Odisha public signage; East Coast Railway bilingual station and ticket wording; OSRTC and Bhubaneswar city bus wording;ipa=espeak
accessibility.door-width,ଦ୍ୱାରର ଓସାର କେତେ?,,dwārara ōsāra kētē?,dwˈaɾɔɾˌɔ ˈosaɾˌɔ kˈete,,2,"Odisha public signage; Bhubaneswar and Cuttack municipal and public-utility notices; Praharaj, G. C., Pūrṇṇacandra Oṛiā Bhāṣākoṣa (1931-40), Digital Dictionaries of South Asia;ipa=espeak"
accessibility.wheelchair-width,ମୋ ଚକ ଚେୟାରର ଓସାର {} ସେଣ୍ଟିମିଟର,,mō caka cēẏārara ōsāra {} sēṇṭimiṭara,mˈo tʃˈɔkɔ tʃˈejɔˌaɾɔɾˌɔ ˈosaɾˌɔ {} sˈeɳʈimˌiʈɔɾˌɔ,,2,"Odisha public signage; Bhubaneswar and Cuttack municipal and public-utility notices; Praharaj, G. C., Pūrṇṇacandra Oṛiā Bhāṣākoṣa (1931-40), Digital Dictionaries of South Asia;ipa=espeak"
accessibility.hard-of-hearing,ମୁଁ କମ୍ ଶୁଣେ,,mum̐ kam śuṇē,mˈũ kˈɔm sˈuɳe,I hear little,2,"Odisha public signage; Bhubaneswar and Cuttack municipal and public-utility notices; Praharaj, G. C., Pūrṇṇacandra Oṛiā Bhāṣākoṣa (1931-40), Digital Dictionaries of South Asia;ipa=espeak"
