target,system,legend
zh-Hans,pinyin,ā á ǎ à = 1 2 3 4
ja,hepburn,ā ī ū ē ō = aa ii uu ee oo
hi,iast,ā ī ū = aa ii uu · ṭ ḍ ṇ ṛ = t d n r · ś ṣ = sh · ṁ = n
ar,ala-lc,ā ī ū = aa ii uu · ḥ ṭ ṣ ḍ ẓ = h t s d z · ʿ ʾ = '
bn,iso15919,ā ī ū = aa ii uu · ṭ ḍ ṇ ṛ = t d n r · ś ṣ = sh · ṁ = n · final a is silent
ur,bgn,ā ī ū = aa ii uu · ṭ ḍ ṛ = t d r · ñ = n (nasal) · ’ = glottal stop / hamza
ta,iso15919,ā ī ū ē ō = aa ii uu ee oo · ṭ ṇ ṟ ṉ ḷ = t n r n l · ḻ = zh · c = ch or s · letters do not show voicing
te,iso15919,ā ī ū ē ō = aa ii uu ee oo · ṭ ḍ ṇ ḷ = t d n l · ś ṣ = sh · ṁ = n · r̥ = ri · h after a stop is a puff of air: kh gh th dh ph bh are one sound each
mr,iso15919,ā ī ū ē ō = aa ii uu ee oo · ṭ ḍ ṇ ḷ = t d n l · ś ṣ = sh · ṁ = n · ḻ = retroflex l (ळ)
pa,iso15919,ā ī ū ē ō = aa ii uu ee oo · ṭ ḍ ṇ ṛ = t d n r · ś = sh · ṁ = n · ḷ = retroflex l (ਲ਼) · x ġ = ਖ਼ ਗ਼ · a final short a is not written · tone is not shown — see the IPA column
gu,iso15919,ā ī ū ē ō = aa ii uu ee oo · ṭ ḍ ṇ ḷ = t d n l · ś ṣ = sh · ṁ = n · r̥ = ru · ê ô = ઍ ઑ — the short open e and o · a final short a is not written · h after a stop is a puff of air: kh gh th dh ph bh are one sound each
ne,iso15919,"ā ī ū ē ō = aa ii uu ee oo · ṭ ḍ ṇ = t d n · ś ṣ = sh · ṁ = n · ṅ = the ङ in an English -ing loanword (बुकिङ bukiṅa ""booking"") · r̥ = ri"
am,bgn,ī ē = ee ay · e = uh · i = ih · kʼ tʼ pʼ tsʼ chʼ = k t p ts ch
kn,iso15919,ā ī ū ē ō = aa ii uu ee oo · ṭ ḍ ṇ ḷ = t d n l · ś ṣ = sh · ṁ = n · r̥ = ru · h after a stop is a puff of air: kh gh th dh ph bh are one sound each
ml,iso15919,ā ī ū ē ō = aa ii uu ee oo · ṭ ḍ ṇ ḷ = t d n l · ṟ = a hard r · ḻ = zh · ś ṣ = sh · ṁ = m · r̥ = ru · ŭ = a very short u · h after a stop is a puff of air: kh gh th dh ph bh are one sound each
lo,bgn,è é ô = eh ay oh · x = s · gn = ny · ou = oo · ai = eye · tone is not shown — see the IPA column
