concept_id,section_id,default_template,kind,slug_en,rank,importance,cluster_id,cluster_rank,slots,register,applies_to,notes
emergency-medical.help,emergency-medical,entry,phrase,help,1,1.000,emergency-medical.help,0,0,neutral,,
emergency-medical.please-call-an-ambulance,emergency-medical,entry,phrase,please-call-an-ambulance,2,0.964,emergency-medical.please-call-an-ambulance,0,0,neutral,,
emergency-medical.i-need-a-doctor,emergency-medical,entry,phrase,i-need-a-doctor,3,0.929,emergency-medical.i-need-a-doctor,0,0,neutral,,
emergency-medical.i-am-sick,emergency-medical,entry,phrase,i-am-sick,4,0.893,emergency-medical.i-am-sick,0,0,neutral,,
emergency-medical.i-am-injured,emergency-medical,entry,phrase,i-am-injured,5,0.857,emergency-medical.i-am-injured,0,0,neutral,,
emergency-medical.it-hurts-here,emergency-medical,entry,phrase,it-hurts-here,6,0.821,emergency-medical.it-hurts-here,0,0,neutral,,
emergency-medical.where-is-a-pharmacy,emergency-medical,entry,phrase,where-is-a-pharmacy,7,0.786,emergency-medical.where-is-a-pharmacy,0,0,neutral,,
emergency-medical.please-take-me-to-a-hospital,emergency-medical,entry,phrase,please-take-me-to-a-hospital,8,0.750,emergency-medical.please-take-me-to-a-hospital,0,0,neutral,,
emergency-medical.i-feel-unwell,emergency-medical,entry,phrase,i-feel-unwell,1004,0.850,emergency-medical.i-feel-unwell,0,0,neutral,,
emergency-medical.this-is-an-emergency,emergency-medical,entry,phrase,this-is-an-emergency,1005,0.960,emergency-medical.this-is-an-emergency,0,0,neutral,,
emergency-medical.i-am-having-a-severe-allergic-reaction,emergency-medical,entry,phrase,i-am-having-a-severe-allergic-reaction,1006,0.950,emergency-medical.i-am-having-a-severe-allergic-reaction,0,0,neutral,,Target text must use the local medical term for anaphylaxis; dispatchers prioritise that word.
emergency-medical.i-cannot-breathe,emergency-medical,entry,phrase,i-cannot-breathe,1007,0.940,emergency-medical.i-cannot-breathe,0,0,neutral,,
emergency-medical.i-am-bleeding-badly,emergency-medical,entry,phrase,i-am-bleeding-badly,1008,0.920,emergency-medical.i-am-bleeding-badly,0,0,neutral,,
emergency-medical.i-have-chest-pain,emergency-medical,entry,phrase,i-have-chest-pain,1009,0.900,emergency-medical.i-have-chest-pain,0,0,neutral,,
emergency-medical.this-person-is-unconscious,emergency-medical,entry,phrase,this-person-is-unconscious,1010,0.890,emergency-medical.this-person-is-unconscious,0,0,neutral,,"Said about someone else, not the speaker."
emergency-medical.where-is-the-nearest-hospital,emergency-medical,entry,phrase,where-is-the-nearest-hospital,1011,0.880,emergency-medical.where-is-the-nearest-hospital,0,0,neutral,,
emergency-medical.what-is-the-emergency-number,emergency-medical,entry,phrase,what-is-the-emergency-number,1012,0.860,emergency-medical.what-is-the-emergency-number,0,0,neutral,,
emergency-medical.is-there-a-doctor-who-speaks-english,emergency-medical,entry,phrase,is-there-a-doctor-who-speaks-english,1013,0.840,emergency-medical.is-there-a-doctor-who-speaks-english,0,0,neutral,,Names the traveller's own language. The cell carries {source} and is filled from the pair.
emergency-medical.i-think-a-bone-is-broken,emergency-medical,entry,phrase,i-think-a-bone-is-broken,1014,0.820,emergency-medical.i-think-a-bone-is-broken,0,0,neutral,,
emergency-medical.please-call-my-emergency-contact,emergency-medical,entry,phrase,please-call-my-emergency-contact,1015,0.800,emergency-medical.please-call-my-emergency-contact,0,0,neutral,,
emergency-medical.i-have-travel-insurance,emergency-medical,entry,phrase,i-have-travel-insurance,1016,0.760,emergency-medical.i-have-travel-insurance,0,0,neutral,,
medical-conditions.i-am-diabetic,medical-conditions,entry,phrase,i-am-diabetic,1,0.940,medical-conditions.diabetes,0,0,neutral,,
medical-conditions.i-need-insulin,medical-conditions,entry,phrase,i-need-insulin,2,0.900,medical-conditions.diabetes,1,0,neutral,,
medical-conditions.i-have-asthma,medical-conditions,entry,phrase,i-have-asthma,3,0.890,medical-conditions.asthma,0,0,neutral,,
medical-conditions.i-have-a-heart-condition,medical-conditions,entry,phrase,i-have-a-heart-condition,4,0.880,medical-conditions.i-have-a-heart-condition,0,0,neutral,,
medical-conditions.i-am-allergic-to-penicillin,medical-conditions,entry,phrase,i-am-allergic-to-penicillin,5,0.880,medical-conditions.drug-allergy,0,0,neutral,,
medical-conditions.i-have-epilepsy,medical-conditions,entry,phrase,i-have-epilepsy,6,0.870,medical-conditions.i-have-epilepsy,0,0,neutral,,
medical-conditions.my-blood-sugar-is-low,medical-conditions,entry,phrase,my-blood-sugar-is-low,7,0.860,medical-conditions.diabetes,2,0,neutral,,
medical-conditions.i-need-my-inhaler,medical-conditions,entry,phrase,i-need-my-inhaler,8,0.860,medical-conditions.asthma,1,0,neutral,,
medical-conditions.i-am-pregnant,medical-conditions,entry,phrase,i-am-pregnant,9,0.860,medical-conditions.i-am-pregnant,0,0,neutral,,
medical-conditions.i-carry-an-adrenaline-injector,medical-conditions,entry,phrase,i-carry-an-adrenaline-injector,10,0.860,medical-conditions.injector,0,0,neutral,,"Adrenaline = epinephrine (US). Use the local descriptive term for an auto-injector, not the brand EpiPen."
medical-conditions.i-take-medicine-for,medical-conditions,entry,template,i-take-medicine-for,11,0.850,medical-conditions.my-medicine,0,1,neutral,,
medical-conditions.i-take-blood-thinners,medical-conditions,entry,phrase,i-take-blood-thinners,12,0.840,medical-conditions.i-take-blood-thinners,0,0,neutral,,Anticoagulant medication such as warfarin; matters before any procedure.
medical-conditions.medicine-allergy,medical-conditions,refphrase,template,medicine-allergy,13,0.840,medical-conditions.drug-allergy,3,1,neutral,,"A label to fill in and show; use the generic drug name, not a brand."
medical-conditions.this-card-lists-my-conditions,medical-conditions,entry,phrase,this-card-lists-my-conditions,14,0.820,medical-conditions.this-card-lists-my-conditions,0,0,neutral,,Descriptive stand-in for a medical alert card; first responders are trained to look for medical ID.
medical-conditions.this-is-my-medicine,medical-conditions,entry,phrase,this-is-my-medicine,15,0.810,medical-conditions.my-medicine,1,0,neutral,,
medical-conditions.please-give-me-sugar-or-juice,medical-conditions,entry,phrase,please-give-me-sugar-or-juice,16,0.800,medical-conditions.diabetes,3,0,neutral,,
medical-conditions.inject-it-into-my-outer-thigh,medical-conditions,entry,phrase,inject-it-into-my-outer-thigh,17,0.800,medical-conditions.injector,2,0,neutral,,Correct auto-injector site is the middle of the outer thigh.
medical-conditions.my-blood-type-is,medical-conditions,entry,template,my-blood-type-is,18,0.790,medical-conditions.my-blood-type-is,0,1,neutral,,
medical-conditions.do-not-give-me,medical-conditions,entry,template,do-not-give-me,19,0.780,medical-conditions.drug-allergy,4,1,neutral,,
medical-conditions.i-am-allergic-to-aspirin-and-ibuprofen,medical-conditions,entry,phrase,i-am-allergic-to-aspirin-and-ibuprofen,20,0.760,medical-conditions.drug-allergy,1,0,neutral,,Covers the NSAID class descriptively.
medical-conditions.my-injector-is-in-my-bag,medical-conditions,entry,phrase,my-injector-is-in-my-bag,21,0.750,medical-conditions.injector,1,0,neutral,,
medical-conditions.i-am-allergic-to-sulfa-drugs,medical-conditions,entry,phrase,i-am-allergic-to-sulfa-drugs,22,0.700,medical-conditions.drug-allergy,2,0,neutral,,Sulfonamide antibiotics.
pharmacy-symptoms.which-pharmacy-is-open-now,pharmacy-symptoms,entry,phrase,which-pharmacy-is-open-now,1,0.900,pharmacy-symptoms.pharmacy,0,0,neutral,,
pharmacy-symptoms.i-need-medicine-for,pharmacy-symptoms,entry,template,i-need-medicine-for,2,0.880,pharmacy-symptoms.i-need-medicine-for,0,1,neutral,,
pharmacy-symptoms.i-have-a-fever,pharmacy-symptoms,refphrase,phrase,i-have-a-fever,3,0.880,pharmacy-symptoms.i-have-a-fever,0,0,neutral,,
pharmacy-symptoms.i-think-i-have-malaria,pharmacy-symptoms,refphrase,phrase,i-think-i-have-malaria,4,0.870,pharmacy-symptoms.malaria,0,0,neutral,sw;hi;th;id;vi;pt;es,Scoped to the targets where malaria is transmitted. The fever row does not reach it: naming the disease is what gets a test rather than a painkiller.
pharmacy-symptoms.i-need-a-malaria-test,pharmacy-symptoms,entry,phrase,i-need-a-malaria-test,5,0.865,pharmacy-symptoms.malaria,1,0,neutral,sw;hi;th;id;vi;pt;es,"The rapid diagnostic test answers in 15-20 minutes and is stocked by clinics and many pharmacies, so this is the row that turns a fever into a diagnosis. Prefer the local malaria programme's own term."
pharmacy-symptoms.i-have-diarrhea,pharmacy-symptoms,refphrase,phrase,i-have-diarrhea,6,0.860,pharmacy-symptoms.i-have-diarrhea,0,0,neutral,,
pharmacy-symptoms.where-is-an-all-night-pharmacy,pharmacy-symptoms,entry,phrase,where-is-an-all-night-pharmacy,7,0.860,pharmacy-symptoms.pharmacy,1,0,neutral,,"Many countries run a night/weekend duty rota rather than 24h shops (pharmacie de garde, farmacia de guardia)."
pharmacy-symptoms.painkiller,pharmacy-symptoms,ref,word,painkiller,8,0.860,pharmacy-symptoms.analgesic,0,0,neutral,,
pharmacy-symptoms.do-i-need-a-prescription,pharmacy-symptoms,entry,phrase,do-i-need-a-prescription,9,0.840,pharmacy-symptoms.prescription,0,0,neutral,,
