concept_id,section_id,default_template,kind,slug_en,rank,importance,cluster_id,cluster_rank,slots,register,applies_to,notes
pronouns-verbs.i-me,pronouns-verbs,ref,word,i-me,1,0.920,pronouns-verbs.i-me,0,0,neutral,,
pronouns-verbs.we-us,pronouns-verbs,ref,word,we-us,2,0.908,pronouns-verbs.we-us,0,0,neutral,,
pronouns-verbs.you,pronouns-verbs,ref,word,you,3,0.896,pronouns-verbs.you,0,0,neutral,,
pronouns-verbs.you-polite,pronouns-verbs,ref,word,you-polite,4,0.884,pronouns-verbs.you,1,0,polite,,
pronouns-verbs.he-him,pronouns-verbs,ref,word,he-him,5,0.872,pronouns-verbs.he-him,0,0,neutral,,
pronouns-verbs.she-her,pronouns-verbs,ref,word,she-her,6,0.859,pronouns-verbs.she-her,0,0,neutral,,
pronouns-verbs.they-them,pronouns-verbs,ref,word,they-them,7,0.847,pronouns-verbs.they-them,0,0,neutral,,
pronouns-verbs.my-mine,pronouns-verbs,ref,word,my-mine,8,0.835,pronouns-verbs.my-mine,0,0,neutral,,
pronouns-verbs.your-yours,pronouns-verbs,ref,word,your-yours,9,0.823,pronouns-verbs.your-yours,0,0,neutral,,
pronouns-verbs.be-called-call,pronouns-verbs,ref,phrase,be-called-call,10,0.811,pronouns-verbs.be-called-call,0,0,neutral,,
pronouns-verbs.have,pronouns-verbs,ref,word,have,11,0.799,pronouns-verbs.have,0,0,neutral,,
pronouns-verbs.do-not-have,pronouns-verbs,ref,word,do-not-have,12,0.787,pronouns-verbs.do-not-have,0,0,neutral,,
pronouns-verbs.go,pronouns-verbs,ref,word,go,13,0.775,pronouns-verbs.go,0,0,neutral,,
pronouns-verbs.come,pronouns-verbs,ref,word,come,14,0.763,pronouns-verbs.come,0,0,neutral,,
pronouns-verbs.would-like,pronouns-verbs,ref,word,would-like,15,0.751,pronouns-verbs.would-like,0,0,neutral,,
pronouns-verbs.want,pronouns-verbs,ref,word,want,16,0.738,pronouns-verbs.want,0,0,neutral,,
pronouns-verbs.look-for,pronouns-verbs,ref,word,look-for,17,0.726,pronouns-verbs.look-for,0,0,neutral,,
pronouns-verbs.buy,pronouns-verbs,ref,word,buy,18,0.714,pronouns-verbs.buy,0,0,neutral,,
pronouns-verbs.like,pronouns-verbs,ref,word,like,19,0.702,pronouns-verbs.like,0,0,neutral,,
pronouns-verbs.need,pronouns-verbs,ref,word,need,20,0.690,pronouns-verbs.need,0,0,neutral,,
pronouns-verbs.there-is-have,pronouns-verbs,ref,phrase,there-is-have,1003,0.782,pronouns-verbs.there-is-have,0,0,neutral,,
pronouns-verbs.there-is-not-do-not-have,pronouns-verbs,ref,phrase,there-is-not-do-not-have,1004,0.782,pronouns-verbs.there-is-not-do-not-have,0,0,neutral,,
pronouns-verbs.want-to-verb,pronouns-verbs,ref,word,want-to-verb,1005,0.782,pronouns-verbs.want-to-verb,0,0,neutral,,
pronouns-verbs.want-thing,pronouns-verbs,ref,word,want-thing,1006,0.782,pronouns-verbs.want-thing,0,0,neutral,,
pronouns-verbs.need-thing,pronouns-verbs,ref,word,need-thing,1007,0.782,pronouns-verbs.need-thing,0,0,neutral,,
pronouns-verbs.looking-for-thing,pronouns-verbs,ref,word,looking-for-thing,1008,0.782,pronouns-verbs.looking-for-thing,0,0,neutral,,
question-words.what,question-words,ref,word,what,1,0.900,question-words.what,0,0,neutral,,
question-words.where,question-words,ref,word,where,2,0.888,question-words.where,0,0,neutral,,
question-words.who,question-words,ref,word,who,3,0.875,question-words.who,0,0,neutral,,
question-words.which-one,question-words,ref,word,which-one,4,0.863,question-words.which-one,0,0,neutral,,
question-words.when,question-words,ref,word,when,5,0.850,question-words.when,0,0,neutral,,
question-words.how,question-words,ref,word,how,6,0.838,question-words.how,0,0,neutral,,
question-words.how-much-many,question-words,ref,phrase,how-much-many,7,0.825,question-words.how-much-many,0,0,neutral,,
question-words.how-many,question-words,ref,word,how-many,8,0.812,question-words.how-many,0,0,neutral,,
question-words.why,question-words,ref,word,why,9,0.800,question-words.why,0,0,neutral,,
question-words.this,question-words,ref,word,this,10,0.787,question-words.this,0,0,neutral,,
question-words.that,question-words,ref,word,that,11,0.775,question-words.that,0,0,neutral,,
question-words.here,question-words,ref,word,here,12,0.762,question-words.here,0,0,neutral,,
question-words.there,question-words,ref,word,there,13,0.750,question-words.there,0,0,neutral,,
question-words.a-little,question-words,ref,word,a-little,14,0.738,question-words.a-little,0,0,neutral,,
question-words.some,question-words,ref,word,some,15,0.725,question-words.some,0,0,neutral,,
question-words.very,question-words,ref,word,very,16,0.713,question-words.very,0,0,neutral,,
question-words.too,question-words,ref,word,too,17,0.700,question-words.too,0,0,neutral,,
question-words.also,question-words,ref,word,also,18,0.688,question-words.also,0,0,neutral,,
question-words.all-both,question-words,ref,word,all-both,19,0.675,question-words.all-both,0,0,neutral,,
question-words.how-much-what-price,question-words,ref,phrase,how-much-what-price,1007,0.765,question-words.how-much-what-price,0,0,neutral,,
