concept_id,section_id,default_template,kind,slug_en,rank,importance,cluster_id,cluster_rank,slots,register,notes
time-scheduling.what-time-is-it,time-scheduling,entry,phrase,what-time-is-it,1,0.850,time-scheduling.what-time-is-it,0,0,neutral,
time-scheduling.how-many-minutes,time-scheduling,entry,phrase,how-many-minutes,2,0.823,time-scheduling.how-many-minutes,0,0,neutral,
time-scheduling.what-time-should-we-meet,time-scheduling,entry,phrase,what-time-should-we-meet,3,0.797,time-scheduling.what-time-should-we-meet,0,0,neutral,
time-scheduling.can-we-change-the-time,time-scheduling,entry,phrase,can-we-change-the-time,4,0.770,time-scheduling.can-we-change-the-time,0,0,neutral,
time-scheduling.when-is-convenient,time-scheduling,entry,phrase,when-is-convenient,5,0.744,time-scheduling.when-is-convenient,0,0,neutral,
time-scheduling.what-is-today-s-date,time-scheduling,entry,phrase,what-is-today-s-date,6,0.717,time-scheduling.what-is-today-s-date,0,0,neutral,
time-scheduling.what-day-is-it-today,time-scheduling,entry,phrase,what-day-is-it-today,7,0.691,time-scheduling.what-day-is-it-today,0,0,neutral,
time-scheduling.what-time-does-it-open,time-scheduling,entry,phrase,what-time-does-it-open,8,0.664,time-scheduling.what-time-does-it-open,0,0,neutral,
time-scheduling.what-time-does-it-close,time-scheduling,entry,phrase,what-time-does-it-close,9,0.637,time-scheduling.what-time-does-it-close,0,0,neutral,
time-words.today,time-words,ref,word,today,1,0.780,time-words.today,0,0,neutral,
time-words.tomorrow,time-words,ref,word,tomorrow,2,0.762,time-words.tomorrow,0,0,neutral,
time-words.yesterday,time-words,ref,word,yesterday,3,0.745,time-words.yesterday,0,0,neutral,
time-words.this-week,time-words,ref,word,this-week,4,0.727,time-words.this-week,0,0,neutral,
time-words.next-week,time-words,ref,word,next-week,5,0.709,time-words.next-week,0,0,neutral,
time-words.morning,time-words,ref,word,morning,6,0.691,time-words.morning,0,0,neutral,
time-words.afternoon,time-words,ref,word,afternoon,7,0.674,time-words.afternoon,0,0,neutral,
time-words.evening,time-words,ref,word,evening,8,0.656,time-words.evening,0,0,neutral,
time-words.spring,time-words,ref,word,spring,9,0.638,time-words.spring,0,0,neutral,
time-words.summer,time-words,ref,word,summer,10,0.620,time-words.summer,0,0,neutral,
time-words.fall,time-words,ref,word,fall,11,0.603,time-words.fall,0,0,neutral,
time-words.winter,time-words,ref,word,winter,12,0.585,time-words.winter,0,0,neutral,
days-of-week.monday,days-of-week,ref,word,monday,1,0.620,days-of-week.monday,0,0,neutral,
days-of-week.tuesday,days-of-week,ref,word,tuesday,2,0.594,days-of-week.tuesday,0,0,neutral,
days-of-week.wednesday,days-of-week,ref,word,wednesday,3,0.568,days-of-week.wednesday,0,0,neutral,
days-of-week.thursday,days-of-week,ref,word,thursday,4,0.542,days-of-week.thursday,0,0,neutral,
days-of-week.friday,days-of-week,ref,word,friday,5,0.517,days-of-week.friday,0,0,neutral,
days-of-week.saturday,days-of-week,ref,word,saturday,6,0.491,days-of-week.saturday,0,0,neutral,
days-of-week.sunday,days-of-week,ref,word,sunday,7,0.465,days-of-week.sunday,0,0,neutral,
months.january,months,ref,word,january,1,0.500,months.january,0,0,neutral,
months.february,months,ref,word,february,2,0.489,months.february,0,0,neutral,
months.march,months,ref,word,march,3,0.477,months.march,0,0,neutral,
months.april,months,ref,word,april,4,0.466,months.april,0,0,neutral,
months.may,months,ref,word,may,5,0.455,months.may,0,0,neutral,
months.june,months,ref,word,june,6,0.443,months.june,0,0,neutral,
months.july,months,ref,word,july,7,0.432,months.july,0,0,neutral,
months.august,months,ref,word,august,8,0.420,months.august,0,0,neutral,
months.september,months,ref,word,september,9,0.409,months.september,0,0,neutral,
months.october,months,ref,word,october,10,0.398,months.october,0,0,neutral,
months.november,months,ref,word,november,11,0.386,months.november,0,0,neutral,
months.december,months,ref,word,december,12,0.375,months.december,0,0,neutral,
