concept_id,section_id,default_template,kind,slug_en,rank,importance,cluster_id,cluster_rank,slots,register,applies_to,notes
morse-code.letter-a,morse-code,entry,word,A,1,0.988,morse-code.letters,0,0,neutral,morse,
morse-code.letter-b,morse-code,entry,word,B,2,0.976,morse-code.letters,0,0,neutral,morse,
morse-code.letter-c,morse-code,entry,word,C,3,0.964,morse-code.letters,0,0,neutral,morse,
morse-code.letter-d,morse-code,entry,word,D,4,0.952,morse-code.letters,0,0,neutral,morse,
morse-code.letter-e,morse-code,entry,word,E,5,0.940,morse-code.letters,0,0,neutral,morse,
morse-code.letter-f,morse-code,entry,word,F,6,0.928,morse-code.letters,0,0,neutral,morse,
morse-code.letter-g,morse-code,entry,word,G,7,0.916,morse-code.letters,0,0,neutral,morse,
morse-code.letter-h,morse-code,entry,word,H,8,0.904,morse-code.letters,0,0,neutral,morse,
morse-code.letter-i,morse-code,entry,word,I,9,0.892,morse-code.letters,0,0,neutral,morse,
morse-code.letter-j,morse-code,entry,word,J,10,0.880,morse-code.letters,0,0,neutral,morse,
morse-code.letter-k,morse-code,entry,word,K,11,0.868,morse-code.letters,0,0,neutral,morse,
morse-code.letter-l,morse-code,entry,word,L,12,0.856,morse-code.letters,0,0,neutral,morse,
morse-code.letter-m,morse-code,entry,word,M,13,0.844,morse-code.letters,0,0,neutral,morse,
morse-code.letter-n,morse-code,entry,word,N,14,0.832,morse-code.letters,0,0,neutral,morse,
morse-code.letter-o,morse-code,entry,word,O,15,0.820,morse-code.letters,0,0,neutral,morse,
morse-code.letter-p,morse-code,entry,word,P,16,0.808,morse-code.letters,0,0,neutral,morse,
morse-code.letter-q,morse-code,entry,word,Q,17,0.796,morse-code.letters,0,0,neutral,morse,
morse-code.letter-r,morse-code,entry,word,R,18,0.784,morse-code.letters,0,0,neutral,morse,
morse-code.letter-s,morse-code,entry,word,S,19,0.772,morse-code.letters,0,0,neutral,morse,
morse-code.letter-t,morse-code,entry,word,T,20,0.760,morse-code.letters,0,0,neutral,morse,
morse-code.letter-u,morse-code,entry,word,U,21,0.748,morse-code.letters,0,0,neutral,morse,
morse-code.letter-v,morse-code,entry,word,V,22,0.736,morse-code.letters,0,0,neutral,morse,
morse-code.letter-w,morse-code,entry,word,W,23,0.724,morse-code.letters,0,0,neutral,morse,
morse-code.letter-x,morse-code,entry,word,X,24,0.712,morse-code.letters,0,0,neutral,morse,
morse-code.letter-y,morse-code,entry,word,Y,25,0.700,morse-code.letters,0,0,neutral,morse,
morse-code.letter-z,morse-code,entry,word,Z,26,0.688,morse-code.letters,0,0,neutral,morse,
morse-code.digit-0,morse-code,entry,word,0,27,0.676,morse-code.digits,0,0,neutral,morse,
morse-code.digit-1,morse-code,entry,word,1,28,0.664,morse-code.digits,0,0,neutral,morse,
morse-code.digit-2,morse-code,entry,word,2,29,0.652,morse-code.digits,0,0,neutral,morse,
morse-code.digit-3,morse-code,entry,word,3,30,0.640,morse-code.digits,0,0,neutral,morse,
morse-code.digit-4,morse-code,entry,word,4,31,0.628,morse-code.digits,0,0,neutral,morse,
morse-code.digit-5,morse-code,entry,word,5,32,0.616,morse-code.digits,0,0,neutral,morse,
morse-code.digit-6,morse-code,entry,word,6,33,0.604,morse-code.digits,0,0,neutral,morse,
morse-code.digit-7,morse-code,entry,word,7,34,0.592,morse-code.digits,0,0,neutral,morse,
morse-code.digit-8,morse-code,entry,word,8,35,0.580,morse-code.digits,0,0,neutral,morse,
morse-code.digit-9,morse-code,entry,word,9,36,0.568,morse-code.digits,0,0,neutral,morse,
morse-code.period,morse-code,entry,word,Full stop,37,0.556,morse-code.marks,0,0,neutral,morse,
morse-code.comma,morse-code,entry,word,Comma,38,0.544,morse-code.marks,0,0,neutral,morse,
morse-code.question,morse-code,entry,word,Question mark,39,0.532,morse-code.marks,0,0,neutral,morse,
morse-code.slash,morse-code,entry,word,Slash,40,0.520,morse-code.marks,0,0,neutral,morse,
morse-code.at,morse-code,entry,word,At sign,41,0.508,morse-code.marks,0,0,neutral,morse,
morse-code.sos,morse-code,entry,phrase,SOS,42,0.496,morse-code.words,0,0,neutral,morse,"The distress prosign, sent as one letter with no gaps."
morse-code.help,morse-code,entry,phrase,Help,43,0.484,morse-code.words,0,0,neutral,morse,
morse-code.ok,morse-code,entry,phrase,OK,44,0.472,morse-code.words,0,0,neutral,morse,
morse-code.yes,morse-code,entry,phrase,Yes,45,0.460,morse-code.words,0,0,neutral,morse,
morse-code.no,morse-code,entry,phrase,No,46,0.448,morse-code.words,0,0,neutral,morse,
morse-code.wait,morse-code,entry,phrase,Wait,47,0.436,morse-code.words,0,0,neutral,morse,
morse-code.water,morse-code,entry,phrase,Water,48,0.424,morse-code.words,0,0,neutral,morse,
morse-code.doctor,morse-code,entry,phrase,Doctor,49,0.412,morse-code.words,0,0,neutral,morse,
