concept_id,section_id,default_template,kind,slug_en,rank,importance,cluster_id,cluster_rank,slots,register,notes
border-customs.i-am-a-tourist,border-customs,refphrase,phrase,i-am-a-tourist,1,0.740,border-customs.purpose,0,0,neutral,Answer to 'purpose of visit'. Keep all four answers in the same grammatical shape.
border-customs.here-is-my-passport,border-customs,entry,phrase,here-is-my-passport,2,0.730,border-customs.here-is-my-passport,0,0,neutral,
border-customs.i-am-staying-for-days,border-customs,entry,template,i-am-staying-for-days,3,0.720,border-customs.stay-length,0,1,neutral,
border-customs.nothing-to-declare,border-customs,refphrase,phrase,nothing-to-declare,4,0.710,border-customs.nothing-to-declare,0,0,neutral,Also the wording on the green channel sign; give the sign form if it differs.
border-customs.i-am-staying-at,border-customs,entry,template,i-am-staying-at,5,0.700,border-customs.i-am-staying-at,0,1,neutral,Slot is a hotel or address; travelers usually show a booking.
border-customs.i-am-here-for-business,border-customs,refphrase,phrase,i-am-here-for-business,6,0.680,border-customs.purpose,1,0,neutral,
border-customs.i-have-a-return-ticket,border-customs,entry,phrase,i-have-a-return-ticket,7,0.670,border-customs.i-have-a-return-ticket,0,0,neutral,
border-customs.i-am-visiting-family,border-customs,refphrase,phrase,i-am-visiting-family,8,0.660,border-customs.purpose,2,0,neutral,
border-customs.this-is-for-personal-use,border-customs,refphrase,phrase,this-is-for-personal-use,9,0.650,border-customs.this-is-for-personal-use,0,0,neutral,
border-customs.i-am-in-transit,border-customs,refphrase,phrase,i-am-in-transit,10,0.640,border-customs.purpose,3,0,neutral,
border-customs.i-have-in-cash,border-customs,entry,template,i-have-in-cash,11,0.630,border-customs.i-have-in-cash,0,1,neutral,Slot is an amount with currency. Asked when cash exceeds the declaration threshold.
border-customs.this-is-a-gift,border-customs,refphrase,phrase,this-is-a-gift,12,0.620,border-customs.this-is-a-gift,0,0,neutral,
border-customs.where-do-i-collect-my-baggage,border-customs,entry,phrase,where-do-i-collect-my-baggage,13,0.610,border-customs.baggage,0,0,neutral,
border-customs.how-long-may-i-stay,border-customs,entry,phrase,how-long-may-i-stay,14,0.600,border-customs.stay-length,1,0,neutral,
border-customs.i-have-a-connecting-flight,border-customs,entry,phrase,i-have-a-connecting-flight,15,0.590,border-customs.i-have-a-connecting-flight,0,0,neutral,
border-customs.may-i-have-an-entry-stamp,border-customs,entry,phrase,may-i-have-an-entry-stamp,16,0.580,border-customs.may-i-have-an-entry-stamp,0,0,neutral,Needed where entry stamps are no longer automatic but travelers still want one.
border-customs.visa,border-customs,ref,word,visa,17,0.570,border-customs.visa,0,0,neutral,
border-customs.i-have-no-food-or-plants,border-customs,entry,phrase,i-have-no-food-or-plants,18,0.560,border-customs.i-have-no-food-or-plants,0,0,neutral,Agricultural declaration; undeclared food carries fines in several countries.
border-customs.passport-control,border-customs,ref,word,passport-control,19,0.550,border-customs.passport-control,0,0,neutral,
border-customs.customs,border-customs,ref,word,customs,20,0.540,border-customs.customs,0,0,neutral,
border-customs.baggage-claim,border-customs,ref,word,baggage-claim,21,0.520,border-customs.baggage,1,0,neutral,
border-customs.customs-declaration,border-customs,ref,word,customs-declaration,22,0.500,border-customs.customs-declaration,0,0,neutral,
border-customs.arrival-card,border-customs,ref,word,arrival-card,23,0.480,border-customs.arrival-card,0,0,neutral,
border-customs.transit,border-customs,ref,word,transit,24,0.460,border-customs.transit,0,0,neutral,
border-customs.boarding-pass,border-customs,ref,word,boarding-pass,25,0.440,border-customs.boarding-pass,0,0,neutral,
directions.where-is,directions,entry,template,where-is,1,0.940,directions.where-is,0,1,neutral,
directions.how-do-i-get-to,directions,entry,template,how-do-i-get-to,2,0.862,directions.how-do-i-get-to,0,1,neutral,
directions.is-it-far,directions,entry,phrase,is-it-far,3,0.783,directions.is-it-far,0,0,neutral,
directions.how-long-on-foot,directions,entry,phrase,how-long-on-foot,4,0.705,directions.how-long-on-foot,0,0,neutral,
directions.please-show-me-on-the-map,directions,entry,phrase,please-show-me-on-the-map,5,0.900,directions.map,0,0,polite,The single highest-value direction row: works with no shared language.
directions.where-is-the-nearest,directions,entry,template,where-is-the-nearest,6,0.880,directions.where-is,1,1,neutral,Slot is a place type. Complements directions.where-is by asking for the closest one.
directions.where-am-i,directions,entry,phrase,where-am-i,7,0.820,directions.map,1,0,neutral,"Asks for the traveler's own position, typically answered on a map or phone."
directions.which-way,directions,entry,phrase,which-way,8,0.800,directions.which-way,0,0,neutral,Invites a pointed answer; pairs with the quick-directions rows.
directions.can-i-walk-there,directions,entry,phrase,can-i-walk-there,9,0.760,directions.walk,0,0,neutral,"Chosen over 'Is it walkable?', which translates poorly."
