concept_id,section_id,default_template,kind,slug_en,rank,importance,cluster_id,cluster_rank,slots,register,applies_to,notes
hotel-words.passport,hotel-words,ref,word,passport,1,0.640,hotel-words.passport,0,0,neutral,,
hotel-words.room-key-card,hotel-words,ref,word,room-key-card,2,0.587,hotel-words.room-key-card,0,0,neutral,,
hotel-words.check-in,hotel-words,ref,word,check-in,3,0.533,hotel-words.check-in,0,0,neutral,,
hotel-words.check-out,hotel-words,ref,word,check-out,4,0.480,hotel-words.check-out,0,0,neutral,,
hotel-words.luggage-storage,hotel-words,ref,word,luggage-storage,1005,0.544,hotel-words.luggage-storage,0,0,neutral,,
hotel-basics.are-any-rooms-available,hotel-basics,entry,phrase,are-any-rooms-available,1,0.760,hotel-basics.are-any-rooms-available,0,0,neutral,,
hotel-basics.there-are-two-of-us,hotel-basics,entry,phrase,there-are-two-of-us,2,0.728,hotel-basics.there-are-two-of-us,0,0,neutral,,
hotel-basics.i-have-a-reservation,hotel-basics,entry,phrase,i-have-a-reservation,3,0.697,hotel-basics.i-have-a-reservation,0,0,neutral,,
hotel-basics.can-i-charge-my-phone,hotel-basics,entry,phrase,can-i-charge-my-phone,4,0.665,hotel-basics.can-i-charge-my-phone,0,0,neutral,,
hotel-basics.i-would-like-a-non-smoking-room,hotel-basics,entry,phrase,i-would-like-a-non-smoking-room,5,0.633,hotel-basics.i-would-like-a-non-smoking-room,0,0,neutral,,
hotel-basics.i-would-like-a-quiet-room,hotel-basics,entry,phrase,i-would-like-a-quiet-room,6,0.602,hotel-basics.i-would-like-a-quiet-room,0,0,neutral,,
hotel-basics.is-there-a-washing-machine,hotel-basics,entry,phrase,is-there-a-washing-machine,7,0.570,hotel-basics.is-there-a-washing-machine,0,0,neutral,,
hotel-basics.is-wi-fi-free,hotel-basics,entry,phrase,is-wi-fi-free,1004,0.646,hotel-basics.is-wi-fi-free,0,0,neutral,,
hotel-basics.how-much-per-night,hotel-basics,entry,phrase,how-much-per-night,1005,0.745,hotel-basics.price,0,0,neutral,,
hotel-basics.is-breakfast-included,hotel-basics,entry,phrase,is-breakfast-included,1006,0.710,hotel-basics.breakfast,0,0,neutral,,
hotel-basics.may-i-see-the-room,hotel-basics,entry,phrase,may-i-see-the-room,1007,0.680,hotel-basics.view-room,0,0,polite,,Normal and expected at walk-in guesthouses in much of the world.
hotel-basics.for-nights,hotel-basics,entry,template,for-nights,1008,0.655,hotel-basics.nights,0,1,neutral,,Slot is a number of nights.
hotel-basics.two-beds,hotel-basics,entry,phrase,two-beds,1009,0.620,hotel-basics.beds,0,0,neutral,,Asks for two separate beds rather than one double.
hotel-basics.is-there-air-conditioning,hotel-basics,entry,phrase,is-there-air-conditioning,1010,0.590,hotel-basics.climate,0,0,neutral,,
